dgp,N,T,true_rank_vector,rate_denominator,attempted_replications,numerically_acceptable_spectral_pilots,pilot_acceptance_rate,exact_recovery,exact_recovery_rate,underselection_only,underselection_only_rate,overselection_only,overselection_only_rate,mixed_rank_errors,mixed_rank_error_rate,unresolved_selections,unresolved_rate,selection_at_reportable_cap,final_postrefit_attempted,final_postrefit_valid,selected_rank_0_0_0,selected_rank_1_1_1,selected_rank_2_1_1,selected_rank_1_0_2,other_selected_rank,modal_selected_rank,downstream_state,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,intended_r2,r2_scale_identified,theoretical_max_abs_A,theoretical_max_abs_B,theoretical_max_abs_H,theoretical_coefficient_envelope,calibration_source
1,200,200,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,1.9083834340271748,0.30000000000000004,0.30000000000000004,0.65,0.65,0.65,True,0.85,1.7774613391789282,6.491710250474584,6.491710250474584,frozen_ex_ante_table
1,200,200,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8140917067553658,0.30000000000000004,0.30000000000000004,0.65,0.6499999999999649,0.65,True,0.85,1.7774613391789282,2.7692796863247673,2.7692796863247673,frozen_ex_ante_table
2,50,50,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5303490191087232,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
2,50,50,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,1.7489022922960076,0.30000000000000004,0.30000000000000004,0.65,0.6499999999996401,0.65,True,0.85,1.7774613391789282,5.949206399270609,5.949206399270609,frozen_ex_ante_table
2,50,50,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8107713464166585,0.30000000000000004,0.30000000000000004,0.65,0.6499999999999874,0.65,True,0.85,1.7774613391789282,2.7579848821141852,2.7579848821141852,frozen_ex_ante_table
2,100,100,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5314418341578069,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
2,100,100,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,1.8239209605291775,0.30000000000000004,0.30000000000000004,0.65,0.6499999999998813,0.65,True,0.85,1.7774613391789282,6.204395921912046,6.204395921912046,frozen_ex_ante_table
2,100,100,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8206005923112569,0.30000000000000004,0.30000000000000004,0.65,0.6499999999998691,0.65,True,0.85,1.7774613391789282,2.7914208338158555,2.7914208338158555,frozen_ex_ante_table
2,100,200,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5362176569798055,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
2,100,200,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,1.8879275645586047,0.30000000000000004,0.30000000000000004,0.65,0.6500000000000001,0.65,True,0.85,1.7774613391789282,6.4221259231618815,6.4221259231618815,frozen_ex_ante_table
2,100,200,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8234733334143673,0.30000000000000004,0.30000000000000004,0.65,0.649999999999767,0.65,True,0.85,1.7774613391789282,2.801192980510017,2.801192980510017,frozen_ex_ante_table
2,200,100,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5353637207011697,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
2,200,100,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,1.9395541073587763,0.30000000000000004,0.30000000000000004,0.65,0.6499999999999997,0.65,True,0.85,1.7774613391789282,6.597742914546678,6.597742914546678,frozen_ex_ante_table
2,200,100,"(2,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,0.8157327437913173,0.30000000000000004,0.30000000000000004,0.65,0.6499999999999533,0.65,True,0.85,1.7774613391789282,2.774861969611106,2.774861969611106,frozen_ex_ante_table
2,200,200,"(1,0,2)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.7301712917987002,1.0,0.30000000000000004,0.30000000000000004,,0.5308464938821446,0.65,False,0.85,0.0,3.794081326870647,3.794081326870647,frozen_ex_ante_table
2,200,200,"(1,1,1)",attempted_replications,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,0.6546536707079772,1.811561381201438,0.30000000000000004,0.30000000000000004,0.65,0.6499999999999918,0.65,True,0.85,1.7774613391789282,6.162352584927023,6.162352584927023,frozen_ex_ante_table
