semantic_replication_id,dgp,N,T,replication,true_rank_vector,status,exception_message,constrained_solver_status,pilot_start_count,stationarity_passing_starts,minimum_stationarity_residual,median_stationarity_residual,maximum_stationarity_residual,minimum_objective,maximum_objective,iteration_cap_starts,constrained_fallback_starts,boundary_active_starts,maximum_constraint_violation,pilot_fit_runtime_seconds,pilot_start_objectives,pilot_start_objective_spread,pilot_best_two_objective_gap,pilot_objective_stability_failure,pilot_feasibility_failure,pilot_stationarity_failure,pilot_nonfinite_failure,pilot_boundary_activity,cap_pilot_final_acceptance_basis
dgp1_N100_T100_r00000_truth1-1-1,1,100,100,0,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,7.593520522602889e-05,0.0001153997365955,0.0007898910011566,0.8868499829995964,0.8894867458179211,3,2,2,1.7763568394002505e-15,1301.8099114999932,"[0.8868499829995964, 0.8894867458179211, 0.888216557945322]",0.0026367628183247005,,True,False,True,False,True,failure
dgp1_N100_T100_r00001_truth1-1-1,1,100,100,1,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,5.904235397239586e-05,0.0003552378803352,0.0023858679089266,0.9213406310359328,0.9265969366201128,2,3,3,1.7763568394002505e-15,2047.0355980000022,"[0.926321574935922, 0.9213406310359329, 0.9265969366201127]",0.005256305584179777,,True,False,True,False,True,failure
dgp1_N100_T100_r00002_truth1-1-1,1,100,100,2,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,4.553502940709174e-05,0.0001816760565875,0.0009207196989491,0.9562960030065896,0.9633792355733628,2,3,3,1.7763568394002505e-15,1827.764116499995,"[0.9597891598272581, 0.9633792355733629, 0.9562960030065897]",0.007083232566773234,,True,False,True,False,True,failure
dgp1_N100_T100_r00000_truth2-1-1,1,100,100,0,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,1.3252675714886423e-05,1.858500406649796e-05,3.560077194970441e-05,0.2128049142694368,0.2151765932673523,3,0,0,0.0,33.20907469998929,"[0.21280491426943682, 0.2137990201460093, 0.21517659326735233]",0.002371678997915516,,True,False,True,False,False,failure
dgp1_N100_T100_r00001_truth2-1-1,1,100,100,1,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,3.0203588982343788e-06,4.800377438283438e-06,6.27743682775834e-06,0.2001899402574363,0.2020756013577427,3,0,0,0.0,29.829785500012804,"[0.20018994025743633, 0.2020756013577427, 0.20083298772872607]",0.0018856611003063573,,True,False,True,False,False,failure
dgp1_N100_T100_r00002_truth2-1-1,1,100,100,2,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,6.646330042280188e-06,1.358130953410344e-05,0.0002243199222925,0.199371933049726,0.2002464285437459,3,1,1,1.7763568394002505e-15,376.8395061999909,"[0.19937193304972606, 0.2002464285437459, 0.19964605930543752]",0.0008744954940198557,,True,False,True,False,False,failure
dgp1_N100_T200_r00000_truth1-0-2,1,100,200,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,9.132717700121487e-06,1.4779165539919638e-05,0.0004095137758701,0.3320062147470428,0.3329509142953724,3,1,1,0.0,642.6147659999988,"[0.33243802786099524, 0.33295091429537244, 0.3320062147470428]",0.0009446995483296527,,True,False,True,False,True,failure
dgp1_N100_T200_r00001_truth1-0-2,1,100,200,1,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,7.214834714078521e-06,7.739583182101924e-06,9.657770156278587e-06,0.36137268966863,0.3633627851799083,3,0,0,0.0,47.58743670000695,"[0.36336278517990833, 0.36137268966863, 0.3619521679885533]",0.0019900955112783225,,True,False,True,False,False,failure
dgp1_N100_T200_r00002_truth1-0-2,1,100,200,2,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,4.663399532115798e-06,6.311392733834145e-06,1.0104302127603296e-05,0.3604007436135309,0.3617549524143508,3,0,0,0.0,46.6161415999959,"[0.3604007436135309, 0.3605335396324305, 0.36175495241435085]",0.0013542088008199338,,True,False,True,False,False,failure
dgp1_N100_T200_r00000_truth1-1-1,1,100,200,0,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,8.072226096512587e-05,0.0001731096669277,0.000424140537941,1.0972906549614765,1.1035032617251357,3,3,3,1.7763568394002505e-15,3430.9637703000044,"[1.1035032617251355, 1.0972906549614765, 1.1000023951501716]",0.006212606763658979,,True,False,True,False,True,failure
dgp1_N100_T200_r00001_truth1-1-1,1,100,200,1,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,8.375463331706972e-06,1.8725530299672807e-05,0.0003466691556969,1.079600431844691,1.0856963527700905,3,1,1,0.0,1230.0770614000069,"[1.084336147372985, 1.0856963527700905, 1.079600431844691]",0.006095920925399456,,True,False,True,False,True,failure
dgp1_N100_T200_r00002_truth1-1-1,1,100,200,2,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,success,3,1,1.831153478126816e-06,7.0399005738959554e-06,9.316864272014036e-05,1.0654093826835729,1.0719059541827471,3,1,1,1.7763568394002505e-15,1203.3612120999967,"[1.0694479470534761, 1.0719059541827471, 1.0654093826835727]",0.006496571499174486,,True,False,True,False,True,failure
dgp1_N100_T200_r00000_truth2-1-1,1,100,200,0,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,success,3,1,4.9610848154356285e-06,1.3057743463146678e-05,9.82406468998968e-05,0.2373456121859621,0.2382564032213977,2,1,1,0.0,464.3920394000161,"[0.23772506741124672, 0.2382564032213977, 0.23734561218596217]",0.0009107910354355375,,True,False,True,False,True,failure
dgp1_N100_T200_r00001_truth2-1-1,1,100,200,1,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,5.340952684076988e-06,8.839263966647056e-06,1.5925557622306258e-05,0.2283956145697268,0.2292669452796137,3,0,0,0.0,48.55709260000731,"[0.22900730480272286, 0.22926694527961372, 0.22839561456972687]",0.0008713307098868472,,True,False,True,False,False,failure
dgp1_N100_T200_r00002_truth2-1-1,1,100,200,2,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,3.943732962951146e-06,5.588221183358076e-06,7.336340246912922e-06,0.247492198630027,0.2482626290525051,3,0,0,0.0,48.74896310000622,"[0.24749219863002708, 0.24767825863402312, 0.24826262905250518]",0.0007704304224780967,,True,False,True,False,False,failure
dgp1_N200_T100_r00000_truth1-0-2,1,200,100,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,success,3,1,1.0179558040437714e-05,1.2116137021099388e-05,9.96156000657347e-05,0.3520678876759052,0.3523787116124524,2,1,1,0.0,147.09961270001077,"[0.3523787116124524, 0.35206788767590524, 0.3522570247886246]",0.00031082393654713325,,True,False,True,False,True,failure
dgp1_N200_T100_r00001_truth1-0-2,1,200,100,1,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,5.765952761573239e-06,1.0515506336092203e-05,2.4395208138053392e-05,0.3440485997844326,0.3450940355712318,3,0,0,0.0,47.101919499997166,"[0.3440485997844326, 0.3450940355712318, 0.3449281900634332]",0.0010454357867992203,,True,False,True,False,False,failure
dgp1_N200_T100_r00002_truth1-0-2,1,200,100,2,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,2.8974778680539352e-06,1.5080248510991897e-05,0.0014134470303583,0.3570082952294137,0.3581192139907577,3,1,0,0.0,867.5404692999873,"[0.3581192139907577, 0.3573219307573462, 0.35700829522941374]",0.0011109187613439486,,True,False,True,False,False,failure
dgp1_N200_T100_r00000_truth1-1-1,1,200,100,0,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,2.0390807732916685e-05,2.4530423318787803e-05,0.0011806669469683,1.4764252318761233,1.4794081877725778,3,1,1,0.0,1378.1708168999976,"[1.4794081877725778, 1.4781705264696157, 1.4764252318761233]",0.0029829558964544756,,True,False,True,False,True,failure
dgp1_N200_T100_r00001_truth1-1-1,1,200,100,1,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,success,3,1,4.753932833485828e-05,0.0005613392869015,0.0010143206201181,1.413371857884514,1.4251071024138982,2,3,2,1.7763568394002505e-15,3022.089755400004,"[1.4175241670656904, 1.4251071024138982, 1.413371857884514]",0.011735244529384126,,True,False,True,False,True,failure
dgp1_N200_T100_r00002_truth1-1-1,1,200,100,2,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,success,3,1,1.1044664079019376e-05,8.000062082220082e-05,0.0007145601515402,1.4223146585749469,1.4292486764840924,2,2,1,1.7763568394002505e-15,2078.6800236999916,"[1.4250036481423705, 1.4292486764840924, 1.4223146585749469]",0.006934017909145496,,True,False,True,False,True,failure
dgp1_N200_T100_r00000_truth2-1-1,1,200,100,0,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,2.360960785205033e-06,6.215168370238198e-06,1.1760514598725886e-05,0.2351610174018379,0.2355930351758158,3,0,0,0.0,48.276081000018166,"[0.23516101740183795, 0.23539624741557136, 0.23559303517581584]",0.00043201777397788854,,True,False,True,False,False,failure
dgp1_N200_T100_r00001_truth2-1-1,1,200,100,1,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,5.0305852522220506e-06,1.0639629054214825e-05,1.4776535367122816e-05,0.2460387080790585,0.2465467047665341,3,0,0,0.0,45.03267169998435,"[0.2460387080790585, 0.24641275885243114, 0.2465467047665341]",0.000507996687475587,,True,False,True,False,False,failure
dgp1_N200_T100_r00002_truth2-1-1,1,200,100,2,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,2.5497290907259426e-06,6.950637617268068e-06,7.030300825643012e-06,0.2431477483906415,0.2438272585169319,3,0,0,0.0,44.83576339999854,"[0.2438272585169319, 0.24347136922856927, 0.2431477483906415]",0.0006795101262904168,,True,False,True,False,False,failure
dgp1_N200_T200_r00000_truth1-0-2,1,200,200,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,1,6.28588065509775e-07,3.409010561048804e-06,3.971909534432981e-06,0.3896374370593045,0.3901782084218528,3,0,0,0.0,82.97455369999807,"[0.3901441125084892, 0.38963743705930454, 0.39017820842185286]",0.0005407713625483201,,True,False,False,False,False,failure
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,1,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,4.577894505874589e-06,1.0301548756832716e-05,1.1531074086955853e-05,0.4006002800498644,0.4012455496164593,3,0,0,0.0,75.00246390000393,"[0.40124554961645936, 0.4006002800498644, 0.4006109260829898]",0.0006452695665949415,,True,False,True,False,False,failure
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,2,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,2.469504602736508e-06,8.123649135569011e-06,8.723038114597315e-06,0.3952641261822264,0.3956415933154524,3,0,0,0.0,68.6492270000017,"[0.3956229449359428, 0.3952641261822264, 0.3956415933154524]",0.000377467133226006,,True,False,True,False,False,failure
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,0,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,4.234523433941615e-06,4.350696081962429e-06,5.124914079017208e-06,1.4347302740074523,1.4357181912926096,3,0,0,0.0,60.26004190000094,"[1.4355708235650833, 1.4347302740074523, 1.4357181912926096]",0.000987917285157236,,True,False,True,False,False,failure
dgp1_N200_T200_r00001_truth1-1-1,1,200,200,1,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,3.054030394071002e-06,3.896439508406193e-06,5.496323367839658e-06,1.4183224452251706,1.41996315697572,3,0,0,0.0,61.06970349999756,"[1.41996315697572, 1.41852850065848, 1.4183224452251706]",0.0016407117505494728,,True,False,True,False,False,failure
dgp1_N200_T200_r00002_truth1-1-1,1,200,200,2,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,4.52076303283914e-06,6.493868367058489e-06,1.253823323755123e-05,1.4189964005538966,1.4214618578448637,3,0,0,0.0,61.68057010000484,"[1.4207385219925592, 1.4189964005538966, 1.4214618578448635]",0.0024654572909668104,,True,False,True,False,False,failure
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,0,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,2.6692388326339707e-06,3.1344043128899487e-06,4.038480030819104e-06,0.2728479017915586,0.2732327553111881,3,0,0,0.0,69.42728789997636,"[0.2732327553111881, 0.2731860180650725, 0.2728479017915586]",0.0003848535196295244,,True,False,True,False,False,failure
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,1,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,0,2.4298116386526983e-06,2.9017902742158625e-06,6.555984274117921e-06,0.2591836148868038,0.25933040393181,3,0,0,0.0,69.32499799999641,"[0.25933040393181006, 0.2592201291590872, 0.2591836148868038]",0.000146789045006257,,True,False,True,False,False,failure
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,2,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,not_needed_interior_fast_path,3,1,8.19696727556976e-07,1.6940826439257543e-06,5.919734129582892e-06,0.2723849029628613,0.2725100792596669,3,0,0,0.0,68.02555010000651,"[0.2723849029628613, 0.27251007925966697, 0.2724396725419933]",0.00012517629680569575,,True,False,False,False,False,failure
dgp2_N50_T50_r00000_truth1-0-2,2,50,50,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0008675342575189,0.0017315584644456,0.0022252279777346,0.1409296345286971,0.143755507944431,3,3,3,1.7763568394002505e-15,722.8784981000208,"[0.14375550794443107, 0.1409296345286971, 0.14227353049762267]",0.002825873415733954,,True,False,True,False,True,failure
dgp2_N50_T50_r00001_truth1-0-2,2,50,50,1,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,8.749373499761056e-05,0.0002669627501745,0.0004206736696581,0.1472189554699896,0.1564223154518394,2,3,3,1.7763568394002505e-15,552.1870663000154,"[0.15642231545183946, 0.1502751381906849, 0.1472189554699896]",0.009203359981849873,,True,False,True,False,True,failure
dgp2_N50_T50_r00002_truth1-0-2,2,50,50,2,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0025303125352215,0.0026575309334045,0.0053164759951489,0.1281394393778887,0.1364559383001837,3,3,2,1.7763568394002505e-15,818.2812997000001,"[0.1300175099637403, 0.1364559383001837, 0.12813943937788874]",0.008316498922294968,,True,False,True,False,True,failure
dgp2_N50_T50_r00000_truth1-1-1,2,50,50,0,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0018789152762761,0.0036157165616544,0.0077346890246535,0.4248464169848466,0.447522935266065,3,3,3,1.7763568394002505e-15,919.4295950999949,"[0.4346177133093791, 0.447522935266065, 0.42484641698484665]",0.02267651828121836,,True,False,True,False,True,failure
dgp2_N50_T50_r00001_truth1-1-1,2,50,50,1,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0002154020052456,0.0018177516362809,0.0021167432032086,0.4000764755092462,0.4197451031328263,3,3,3,1.7763568394002505e-15,824.2869133999993,"[0.4000764755092462, 0.41974510313282637, 0.4003526160791048]",0.01966862762358018,,True,False,True,False,True,failure
dgp2_N50_T50_r00002_truth1-1-1,2,50,50,2,"(1,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,0.0017314187089245,0.0018669037963009,0.0075495952469239,0.4050117677849614,0.4168115096536484,3,3,3,1.7763568394002505e-15,940.0885587000012,"[0.4050117677849614, 0.4168115096536484, 0.4073899834946619]",0.011799741868686986,,True,False,True,False,True,failure
dgp2_N50_T50_r00000_truth2-1-1,2,50,50,0,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,9.918678044413668e-05,0.0003205075221454,0.0063191684857551,0.087131827760266,0.0927739911786776,2,3,2,1.7763568394002505e-15,607.1815301000024,"[0.08789051334259057, 0.08713182776026608, 0.0927739911786776]",0.005642163418411519,,True,False,True,False,True,failure
dgp2_N50_T50_r00001_truth2-1-1,2,50,50,1,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,1,9.82954369252741e-05,0.0007080504202049,0.0029430130379295,0.0980086275689051,0.1039057772448491,2,3,3,3.552713678800501e-15,598.9972463000013,"[0.10027591287259525, 0.10390577724484915, 0.09800862756890519]",0.005897149675943958,,True,False,True,False,True,failure
dgp2_N50_T50_r00002_truth2-1-1,2,50,50,2,"(2,1,1)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,4.944813765412018e-05,0.0030590792897656,0.0035604608184563,0.0884175144544098,0.0940499753771872,3,2,2,1.7763568394002505e-15,489.2582325999974,"[0.09404997537718728, 0.08841751445440985, 0.09018290728593137]",0.00563246092277743,,True,False,True,False,True,failure
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,0,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,8.436738762718753e-06,3.604604202680324e-05,0.0001762941242975,0.2989097010178005,0.301927596522202,3,1,1,0.0,399.84300779999467,"[0.301927596522202, 0.29890970101780057, 0.299145585097632]",0.0030178955044014577,,True,False,True,False,False,failure
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,1,"(1,0,2)",rank_selection_numerically_unresolved,rank_selection_numerically_unresolved: cap+1 pilot failed maintained acceptance diagnostics,constrained_optimality_failure,3,0,1.325673992159443e-05,4.1873966762019015e-05,0.0001670026493969,0.26865177048406,0.2711325150342104,3,1,0,0.0,439.91691519999586,"[0.2697967753236164, 0.2711325150342104, 0.26865177048406]",0.002480744550150349,,True,False,True,False,False,failure
