N,T,rate_denominator,attempted_replications,numerically_acceptable_spectral_pilots,pilot_acceptance_rate,exact_recovery,exact_recovery_rate,underselection_only,underselection_only_rate,overselection_only,overselection_only_rate,mixed_rank_errors,mixed_rank_error_rate,unresolved_selections,unresolved_rate,selection_at_reportable_cap,final_postrefit_attempted,final_postrefit_valid,selected_rank_0_0_0,selected_rank_1_1_1,selected_rank_2_1_1,selected_rank_1_0_2,other_selected_rank,modal_selected_rank,downstream_state,total_runtime_seconds,median_runtime_seconds,p95_runtime_seconds,zero_rank_B_recovery,rank_two_A_recovery,rank_two_H_recovery,recovery_metric_state
100,200,attempted_replications,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,22003.324092999996,58.99445659999765,2405.354787824996,,,,not_reached_due_to_pilot_failure
200,100,attempted_replications,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,36,1.0,0,0,0,0,0,0,0,0,,not_reached_due_to_pilot_failure,23547.154179700025,112.95701405,2461.307385150001,,,,not_reached_due_to_pilot_failure
