record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,dgp_realization_hash
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[9, 9, 15]",warm_nuclear_path,12,2.492601397515124,2.4563716918861305,0.014534897422873526,500,False,True,,,4.038813385714344,0.44875704285714935,False,,,,,,,,,,,11.0,0.005497234308635557,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[10, 10, 18]",warm_nuclear_path,13,2.16067846679664,2.129841625226914,0.014271832687555585,500,False,True,,,4.824032506740205,0.5360036118600228,False,,,,,,,,,,,12.0,0.004397787446908446,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[11, 11, 23]",warm_nuclear_path,14,1.8427357631605668,1.8198116774465827,0.012440245732608917,500,False,True,,,5.565393897440457,0.6183770997156064,False,,,,,,,,,,,13.0,0.003518229957526757,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[12, 11, 26]",warm_nuclear_path,15,1.5526924181708057,1.5355524651247692,0.01103885923924892,500,False,True,,,6.107503986339716,0.6786115540377462,False,,,,,,,,,,,14.0,0.002814583966021406,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 12, 28]",warm_nuclear_path,16,1.294276006852027,1.2821131750716293,0.009397401880283977,500,False,True,,,6.517665684616471,0.7241850760684968,False,,,,,,,,,,,15.0,0.002251667172817125,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 12, 30]",warm_nuclear_path,17,1.069752786769401,1.061357462445691,0.007847910683236913,500,False,True,,,6.870234248642604,0.7633593609602893,False,,,,,,,,,,,16.0,0.0018013337382537,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 12, 30]",warm_nuclear_path,18,0.8781725682583564,0.8725413282091355,0.005631240049220887,500,False,True,,,7.171725448043281,0.7968583831159202,False,,,,,,,,,,,17.0,0.00144106699060296,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 13, 32]",warm_nuclear_path,19,0.7171624717135305,0.7134142049365619,0.0037482667769686007,500,False,True,,,7.4233761418793245,0.8248195713199249,False,,,,,,,,,,,18.0,0.0011528535924823682,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 13, 32]",warm_nuclear_path,20,0.5832494032220698,0.5807678410527343,0.002481562169335483,500,False,True,,,7.636700079802898,0.8485222310892109,False,,,,,,,,,,,19.0,0.0009222828739858946,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 13, 34]",warm_nuclear_path,21,0.4727758610081829,0.4711476394510504,0.001628221557132492,500,False,True,,,7.80877571205955,0.8676417457843945,False,,,,,,,,,,,20.0,0.0007378262991887157,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,nuclear_path,,,"[14, 13, 34]",warm_nuclear_path,22,0.3822282670719347,0.38115476901098716,0.0010734980609475309,500,False,True,,,7.947818725430049,0.8830909694922277,False,,,,,,,,,,,21.0,0.0005902610393509726,,nuclear_screening,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,coefficient_fit,,"[0, 0, 0]","[0, 0, 0]",nuclear_path,1,5.543911960001758,5.543911960001758,0.0,1,True,False,0.0,True,0.0,0.0,False,,,,,,0.0,True,,,,,,,start,,,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
fit_diagnostic,969a98aee233bf54,dgp1_N50_T50_r00000_truth1-1-1,1,50,50,0,selected_rank,coefficient_fit,,"[0, 0, 0]","[0, 0, 0]",deterministic,2,5.543911960001758,5.543911960001758,0.0,1,True,False,0.0,True,0.0,0.0,False,,,,5.543911960001758,5.543911960001758,0.0,True,,,,,,,"baseline_local_completion|neighbor_of_(1, 0, 0)|nuclear_path_0|nuclear_path_1",2.405847562090892,True,d584b4bd743b64ff96881642d2b38ef8a58e22ff6fd87a73efb11261b2b79d9b
