dgp,N,T,true_rank_vector,c_H,c_xi,target_R2,achieved_R2,scale_identified,calibration_master_seed,seed_stage,seed_key_template,first_seed_state_128_hex,last_seed_state_128_hex,calibration_draw_count,calibration_numerical_status,root_residual,bracket_lower,bracket_upper,pi_H_target,pi_H_population_achieved,pi_H_realized_calibration,population_var_u_tilde,population_var_h_raw,C_A,C_beta,C_H,C_Theta,realized_calibration_max_abs_A,realized_calibration_max_abs_B,realized_calibration_max_abs_H,common_random_numbers,component_strengths
2,200,100,"[2,1,1]",0.6546536707079772,0.8157327437913173,0.65,0.6499999999999533,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|2|200|100|(2, 1, 1)|j",6297b44bd671c5075c9c563925447a47,03cb7aee7357e7ec3ea74c8b50269ea4,50,root_converged,-4.674038933671909e-14,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.2958718900768867,1.0,1.0,0.85,1.7774613391789282,2.774861969611106,2.774861969611106,0.85,1.6314158983531581,2.3264506922406865,True,"[1.0,1.0]"
2,200,100,"[1,0,2]",0.7301712917987002,1.0,,0.5353637207011697,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|2|200|100|(1, 0, 2)|j",a97c387f5e7de7635b46cd6a30951f1e,7279049166cc2aff21e56f32675ac566,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.30298229779543134,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.293312518915313,True,"[1.0,1.0]"
3,100,200,"[1,1,1]",0.6546536707079772,2.1416938733206283,0.65,0.6499999999996503,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|3|100|200|(1, 1, 1)|j",b1dfa1ff9300bea23eaaf3a9bf9ad47e,94bcfa920eecd4b6f549a4bf49641bfe,50,root_converged,-3.497202527569243e-13,1.7912844546220021,2.196707090793235,0.3,0.30000000000000004,0.2990857390092817,1.0,1.0,0.85,1.7774613391789282,7.285357765590497,7.285357765590497,0.85,1.6905772380978652,6.301830777252095,True,"[1.0,1.0]"
3,100,200,"[2,1,1]",0.6546536707079772,0.8704685622272422,0.65,0.6499999999913251,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|3|100|200|(2, 1, 1)|j",66ec59581da5874b9f63390bfa9fbfb9,389ff48484d3d50a556705cfbc4999de,50,root_converged,-8.674949647513586e-12,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.29966115720350345,1.0,1.0,0.85,1.7774613391789282,2.9610557225398737,2.9610557225398737,0.85,1.6672864098722011,2.4984614671950167,True,"[1.0,1.0]"
3,100,200,"[1,0,2]",0.7301712917987002,1.0,,0.5350630611231841,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|3|100|200|(1, 0, 2)|j",7ad667ad12d9d41eb88feceebf845443,7623103824eef76e103c7d46ecff45e1,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.30212208925175016,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.1440178860783585,True,"[1.0,1.0]"
3,200,100,"[1,1,1]",0.6546536707079772,2.241495373037153,0.65,0.6499999999998479,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|3|200|100|(1, 1, 1)|j",e40be620f870b7957a452cf05532f1b3,6c507c50158397f19bb0814f80ab3ec9,50,root_converged,-1.5210055437364645e-13,2.196707090793235,2.6938893095901695,0.3,0.30000000000000004,0.3037762401101056,1.0,1.0,0.85,1.7774613391789282,7.624850556803478,7.624850556803478,0.85,1.6658497164175914,6.850234772966665,True,"[1.0,1.0]"
3,200,100,"[2,1,1]",0.6546536707079772,0.8744510423696058,0.65,0.6499999999910472,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|3|200|100|(2, 1, 1)|j",97f1e85acd6b32197b5bc78d149ac006,3dad151f2fa97a7c056c26f15860360f,50,root_converged,-8.952838470577262e-12,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.2953147619652474,1.0,1.0,0.85,1.7774613391789282,2.9746028466143772,2.9746028466143772,0.85,1.680045308130018,2.4927064330081454,True,"[1.0,1.0]"
3,200,100,"[1,0,2]",0.7301712917987002,1.0,,0.5292955787869738,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|3|200|100|(1, 0, 2)|j",83fc903958ce798c97f8bc9519d29e71,02b00f220a7bac6ec605fb6129ad4099,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.2990610033162366,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.0207272128064986,True,"[1.0,1.0]"
4,100,200,"[1,1,1]",0.6546536707079772,1.9880229420166664,0.65,0.65,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|4|100|200|(1, 1, 1)|j",e5086d286d27db1489e2da5369c0ef1f,23fd7d639901d7df9d26c49832361ec2,50,root_converged,0.0,1.7912844546220021,2.196707090793235,0.3,0.30000000000000004,0.29794301713785815,1.0,1.0,0.85,1.71466333698683,6.762618392486244,6.762618392486244,0.85,1.6325758281667133,6.026099815713265,True,"[1.0,1.0]"
4,100,200,"[2,1,1]",0.6546536707079772,0.842478061357924,0.65,0.6499999999983262,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|4|100|200|(2, 1, 1)|j",01a41a1fd974ee115e53be152fda3ddd,cfee52f16a159efeb2893202e33ac19c,50,root_converged,-1.673772231924886e-12,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.2934916522071649,1.0,1.0,0.85,1.71466333698683,2.8658409883468483,2.8658409883468483,0.85,1.6078287147873924,2.513881296781984,True,"[1.0,1.0]"
4,100,200,"[1,0,2]",0.7301712917987002,1.0,,0.5144757759573667,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|4|100|200|(1, 0, 2)|j",677a512a7c04fc9d27cefee8007f5134,e5d9f51003d04e0aa2009bdae91c2fb4,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.29780815224699236,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.1928023787175244,True,"[1.0,1.0]"
4,200,100,"[1,1,1]",0.6546536707079772,2.028576201877698,0.65,0.6499999999999999,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|4|200|100|(1, 1, 1)|j",c3503c0a33902c72250f075571f5180d,8093e9f02c3d0348dc09f6cf6d06253f,50,root_converged,-1.1102230246251565e-16,1.7912844546220021,2.196707090793235,0.3,0.30000000000000004,0.29857866562626273,1.0,1.0,0.85,1.71466333698683,6.9005676159158735,6.9005676159158735,0.85,1.5941115184447407,5.880389911001104,True,"[1.0,1.0]"
4,200,100,"[2,1,1]",0.6546536707079772,0.8480699706888264,0.65,0.649999999996918,True,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|4|200|100|(2, 1, 1)|j",1899b5b97a53de6af4d0760683ead103,1580be724ed617380121f6327f6fd644,50,root_converged,-3.0819791163594346e-12,0.7920164050192549,0.9712740198471168,0.3,0.30000000000000004,0.3053449661386819,1.0,1.0,0.85,1.71466333698683,2.8848628759171775,2.8848628759171775,0.85,1.6128097301811186,2.63242315169898,True,"[1.0,1.0]"
4,200,100,"[1,0,2]",0.7301712917987002,1.0,,0.5254654013075883,False,20260807,rank_stress_calibration,"20260807|rank_stress_calibration|4|200|100|(1, 0, 2)|j",23f278ed0db48c91806f8ae42835b602,a694468b2bbfb3eda51bfb9630eb6653,50,normalization_c_xi_1,,,,0.3,0.30000000000000004,0.30000095535287147,1.0,0.803847577293368,0.85,0.0,3.794081326870647,3.794081326870647,0.85,0.0,3.1459652074955895,True,"[1.0,1.0]"
