ordinal,rank_stress,design,dgp,n,t,true_rank_vector,old_entry_sha256,new_entry_sha256,value_for_value_unchanged,old_config_byte_prefix_preserved
24,True,rank_stress,2,200,200,"[1,1,1]",1fcf8bc070363c9f99c51386c1be29e36d81410633b874c8f59c14fabce9f40b,1fcf8bc070363c9f99c51386c1be29e36d81410633b874c8f59c14fabce9f40b,True,True
25,True,rank_stress,2,200,200,"[2,1,1]",79d1a49f667baa3c8111b2c6bb8f79a8928314a782b65d2ffddc24ce1ab5d0bc,79d1a49f667baa3c8111b2c6bb8f79a8928314a782b65d2ffddc24ce1ab5d0bc,True,True
26,True,rank_stress,2,200,200,"[1,0,2]",daac4a7e1a7a04874e51c19b0772a9279df4333e68e8842b7f88b847104aba46,daac4a7e1a7a04874e51c19b0772a9279df4333e68e8842b7f88b847104aba46,True,True
27,False,baseline,3,50,50,"[1,1,1]",8d4da40648efc3e7cef2ecf53084b4f1cc61827cbcc9219800370c411e907baa,8d4da40648efc3e7cef2ecf53084b4f1cc61827cbcc9219800370c411e907baa,True,True
28,False,baseline,3,100,100,"[1,1,1]",093ac8c72cde09ad5082f65915cfe0faa6d547361697345dd285a7d02bd32f34,093ac8c72cde09ad5082f65915cfe0faa6d547361697345dd285a7d02bd32f34,True,True
29,False,baseline,3,200,200,"[1,1,1]",9f216eb7898aec18e135e266e5315410266128d013887c06788792acf97e93d7,9f216eb7898aec18e135e266e5315410266128d013887c06788792acf97e93d7,True,True
30,False,baseline,3,400,400,"[1,1,1]",8c305afb389844aea00b137f206b850eb4971634b43c4a616437803e1980f8f7,8c305afb389844aea00b137f206b850eb4971634b43c4a616437803e1980f8f7,True,True
31,True,rank_stress,3,50,50,"[1,1,1]",0e357e5a02eed6bdcc5e3eb7f6f6557e15fd0398f776c23c1e045232f2d6c858,0e357e5a02eed6bdcc5e3eb7f6f6557e15fd0398f776c23c1e045232f2d6c858,True,True
32,True,rank_stress,3,50,50,"[2,1,1]",290726b3004165c4a218421829be62c9f485e5307e84559814f4101b8e0923ed,290726b3004165c4a218421829be62c9f485e5307e84559814f4101b8e0923ed,True,True
33,True,rank_stress,3,50,50,"[1,0,2]",0aafcd3ac6949c6151a16c68cc3e7adc8599722c424c53a3d2add79d0fab7c24,0aafcd3ac6949c6151a16c68cc3e7adc8599722c424c53a3d2add79d0fab7c24,True,True
34,True,rank_stress,3,100,100,"[1,1,1]",4cbfbc48db5e18359c7d4ac4e8bb1c6e75057485fefbda9f28b1713befdaa069,4cbfbc48db5e18359c7d4ac4e8bb1c6e75057485fefbda9f28b1713befdaa069,True,True
35,True,rank_stress,3,100,100,"[2,1,1]",883660efa2508d68f105852c1bcd5912c90dace0a5b450aba28e5b80aeefac01,883660efa2508d68f105852c1bcd5912c90dace0a5b450aba28e5b80aeefac01,True,True
36,True,rank_stress,3,100,100,"[1,0,2]",33528e8bb1350dcff8bc832bbcf30ba0f1d00d5248eed6832a08da8671fa8733,33528e8bb1350dcff8bc832bbcf30ba0f1d00d5248eed6832a08da8671fa8733,True,True
37,True,rank_stress,3,200,200,"[1,1,1]",7202ff620affc3323ff3480746bf91732924da7e1e010fb8b01bceb67f260632,7202ff620affc3323ff3480746bf91732924da7e1e010fb8b01bceb67f260632,True,True
38,True,rank_stress,3,200,200,"[2,1,1]",4d4274a79cf6553eab882723580c73cb0c3f039c9f3de9833d5bcdad6768d2e6,4d4274a79cf6553eab882723580c73cb0c3f039c9f3de9833d5bcdad6768d2e6,True,True
39,True,rank_stress,3,200,200,"[1,0,2]",8b49fa8ba37a6d3b515608648dff3863b857643b5f4024ba6b0b59df5a5e4c8b,8b49fa8ba37a6d3b515608648dff3863b857643b5f4024ba6b0b59df5a5e4c8b,True,True
40,False,baseline,4,50,50,"[1,1,1]",49272fd6a150753e7c162e7da3105c1803662e1aab86ddc2fc3627b0cc7028cc,49272fd6a150753e7c162e7da3105c1803662e1aab86ddc2fc3627b0cc7028cc,True,True
41,False,baseline,4,100,100,"[1,1,1]",e412439fcde0ab78a348b5868a288d71c6ab2542aaf1acbb097965f1802fd5af,e412439fcde0ab78a348b5868a288d71c6ab2542aaf1acbb097965f1802fd5af,True,True
42,False,baseline,4,200,200,"[1,1,1]",7173ee21444c733e5061494fab9767eacbc981a1cad02d08092048f7e6a12a7b,7173ee21444c733e5061494fab9767eacbc981a1cad02d08092048f7e6a12a7b,True,True
43,False,baseline,4,400,400,"[1,1,1]",539b5c2d721dc9b12de585ba43e7691e21246f3ea7f9649a0c6cb0bc8a141f70,539b5c2d721dc9b12de585ba43e7691e21246f3ea7f9649a0c6cb0bc8a141f70,True,True
44,True,rank_stress,4,50,50,"[1,1,1]",85f40ab99b6f9ede34ecb6e9e0df2031845f63ac008411407f3c0371e1569624,85f40ab99b6f9ede34ecb6e9e0df2031845f63ac008411407f3c0371e1569624,True,True
45,True,rank_stress,4,50,50,"[2,1,1]",394389b4b87cf251c411ce76e84d0910b6422860503453dd5ebe95d357ea5108,394389b4b87cf251c411ce76e84d0910b6422860503453dd5ebe95d357ea5108,True,True
46,True,rank_stress,4,50,50,"[1,0,2]",0e18a04ab93a82be42c3c657af98943a32b041c6a5ae3788df5db4443964e176,0e18a04ab93a82be42c3c657af98943a32b041c6a5ae3788df5db4443964e176,True,True
47,True,rank_stress,4,100,100,"[1,1,1]",ab6aec7ecf51240848805945b03f876755729c2e5c29e67c159369390eafc5a1,ab6aec7ecf51240848805945b03f876755729c2e5c29e67c159369390eafc5a1,True,True
48,True,rank_stress,4,100,100,"[2,1,1]",6c07464005603f1cb6df70597c7a4306703764a508d4e67a42f5f86cab52d29a,6c07464005603f1cb6df70597c7a4306703764a508d4e67a42f5f86cab52d29a,True,True
49,True,rank_stress,4,100,100,"[1,0,2]",c23350007b0aad24c3f71b2548222d68b1b1ca3ba3da3e139cce23c427241bf5,c23350007b0aad24c3f71b2548222d68b1b1ca3ba3da3e139cce23c427241bf5,True,True
50,True,rank_stress,4,200,200,"[1,1,1]",eb394085375e2029c0b6d80e6949dbe765839c23f9831dbff75708a27f57324b,eb394085375e2029c0b6d80e6949dbe765839c23f9831dbff75708a27f57324b,True,True
51,True,rank_stress,4,200,200,"[2,1,1]",5a51711b0b80990943f65b4aab7287dfcdedce1142656f82520ef4aac430e660,5a51711b0b80990943f65b4aab7287dfcdedce1142656f82520ef4aac430e660,True,True
52,True,rank_stress,4,200,200,"[1,0,2]",4ce793d4116bf028c1ecd71bf7d8161f79390910af3c25b73283f58023955810,4ce793d4116bf028c1ecd71bf7d8161f79390910af3c25b73283f58023955810,True,True
