dgp,N,method,fit_role,attempted_fits,unconstrained_outside_box_count,unconstrained_outside_box_rate,constrained_fallback_count,constrained_fallback_rate,boundary_active_count,boundary_active_rate,constrained_solver_failure_count,constrained_solver_failure_rate,constrained_feasibility_failure_count,constrained_feasibility_failure_rate,constrained_optimality_failure_count,constrained_optimality_failure_rate
3,100,fixed_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,100,selected_rank,candidate_post_refit,128,24,0.1875,24,0.1875,24,0.1875,0,0.0,0,0.0,0,0.0
3,100,selected_rank,cap_pilot,317,46,0.14511041009463724,46,0.14511041009463724,46,0.14511041009463724,0,0.0,0,0.0,0,0.0
3,100,selected_rank,full_panel,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,100,selected_rank,time_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
3,100,selected_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,50,fixed_rank,full_panel,9,3,0.3333333333333333,3,0.3333333333333333,3,0.3333333333333333,0,0.0,0,0.0,0,0.0
4,50,fixed_rank,time_half_split,6,1,0.16666666666666666,1,0.16666666666666666,1,0.16666666666666666,0,0.0,0,0.0,0,0.0
4,50,fixed_rank,unit_half_split,6,3,0.5,3,0.5,3,0.5,0,0.0,0,0.0,0,0.0
4,50,selected_rank,candidate_post_refit,139,60,0.4316546762589928,60,0.4316546762589928,58,0.4172661870503597,0,0.0,0,0.0,4,0.02877697841726619
4,50,selected_rank,cap_pilot,376,182,0.48404255319148937,182,0.48404255319148937,180,0.4787234042553192,0,0.0,0,0.0,2,0.005319148936170213
4,50,selected_rank,full_panel,3,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,0,0.0,0,0.0,0,0.0
4,50,selected_rank,time_half_split,4,1,0.25,1,0.25,1,0.25,0,0.0,0,0.0,0,0.0
4,50,selected_rank,unit_half_split,4,2,0.5,2,0.5,2,0.5,0,0.0,0,0.0,0,0.0
4,100,fixed_rank,full_panel,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,fixed_rank,time_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,fixed_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,selected_rank,candidate_post_refit,137,32,0.23357664233576642,32,0.23357664233576642,27,0.19708029197080293,0,0.0,0,0.0,0,0.0
4,100,selected_rank,cap_pilot,326,46,0.1411042944785276,46,0.1411042944785276,44,0.13496932515337423,0,0.0,0,0.0,0,0.0
4,100,selected_rank,full_panel,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,selected_rank,time_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,selected_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
