dgp,N,method,fit_role,fits_attempted,convergence_rate,unconstrained_inside_box_rate,constrained_fallback_rate,boundary_active_rate,constrained_solver_failure_rate,constrained_KKT_failure_rate,numerical_rank_loss_rate,median_iterations,p90_iterations,median_runtime_seconds,p90_runtime_seconds,maximum_runtime_seconds,median_max_abs_coefficient,p90_max_abs_coefficient
1,50,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,16.4,0.022881399985635653,0.03069229999673553,0.03367669999715872,6.080556778634731,7.544419003602817
1,50,fixed_rank,time_half_split,6,1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,10.5,30.5,0.01530270000512246,1.6717308500083163,3.267030999995768,7.493314091090471,9.544658966021977
1,50,fixed_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,23.5,0.016252500005066395,0.12249305000295863,0.12732450000476092,7.966564987686354,8.811139236830837
1,50,selected_rank,candidate_post_refit,132,0.946969696969697,0.6590909090909091,0.3409090909090909,0.32575757575757575,0.0,0.05303030303030303,0.0,29.5,129.40000000000003,0.1538455500121927,28.027046020003038,119.9343702000042,8.01857591366317,10.000000000000002
1,50,selected_rank,cap_pilot,298,0.9530201342281879,0.6778523489932886,0.3221476510067114,0.3087248322147651,0.0,0.04697986577181208,0.0,26.0,93.60000000000002,0.08817205000377726,21.430465440003907,70.0222038999782,7.928940341104756,10.0
1,50,selected_rank,full_panel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,15.8,0.043637200025841594,0.061503039998933674,0.06596949999220669,6.23482662620764,7.337972654683626
1,50,selected_rank,time_half_split,6,1.0,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,10.5,30.5,0.04645384998002555,3.7786495000036666,7.480218799988506,7.493722192307699,9.544691118967922
1,50,selected_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,23.5,0.04832145001273602,0.11749195000447799,0.12309390000882559,7.966579751422268,8.811637252419143
1,100,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,0.03299799998058006,0.037664780003251505,0.038338699989253655,4.96017994707588,7.122431835134273
1,100,fixed_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.017824949987698346,0.01822895000805147,0.018464900000253692,5.173582315063423,6.249146458119128
