target,status,count
A_G1_fixed_time,success,999
A_G1_fixed_time,boundary_interiority_failure,1
A_G1_time_average,success,972
A_G1_time_average,boundary_interiority_failure,26
A_G1_time_average,split_fit_failure,2
A_G2_fixed_time,success,999
A_G2_fixed_time,boundary_interiority_failure,1
A_G2_minus_G1_fixed_time,success,999
A_G2_minus_G1_fixed_time,boundary_interiority_failure,1
A_G2_minus_G1_time_average,success,972
A_G2_minus_G1_time_average,boundary_interiority_failure,26
A_G2_minus_G1_time_average,split_fit_failure,2
A_G2_time_average,success,972
A_G2_time_average,boundary_interiority_failure,26
A_G2_time_average,split_fit_failure,2
A_entry,success,999
A_entry,boundary_interiority_failure,1
A_fixed_time_mean,success,999
A_fixed_time_mean,boundary_interiority_failure,1
A_full_mean,success,972
A_full_mean,boundary_interiority_failure,26
A_full_mean,split_fit_failure,2
B_G1_fixed_time,success,999
B_G1_fixed_time,boundary_interiority_failure,1
B_G1_time_average,success,972
B_G1_time_average,boundary_interiority_failure,26
B_G1_time_average,split_fit_failure,2
B_G2_fixed_time,success,999
B_G2_fixed_time,boundary_interiority_failure,1
B_G2_minus_G1_fixed_time,success,999
B_G2_minus_G1_fixed_time,boundary_interiority_failure,1
B_G2_minus_G1_time_average,success,972
B_G2_minus_G1_time_average,boundary_interiority_failure,26
B_G2_minus_G1_time_average,split_fit_failure,2
B_G2_time_average,success,972
B_G2_time_average,boundary_interiority_failure,26
B_G2_time_average,split_fit_failure,2
B_entry,success,999
B_entry,boundary_interiority_failure,1
B_fixed_time_mean,success,999
B_fixed_time_mean,boundary_interiority_failure,1
B_full_mean,success,972
B_full_mean,boundary_interiority_failure,26
B_full_mean,split_fit_failure,2
