fit_type,fit_records,convergence_pass,stationarity_pass,boundary_active,constrained_fallback,total_fit_runtime_seconds,median_fit_runtime_seconds,p95_fit_runtime_seconds,max_fit_runtime_seconds
full_fixed_rank,3000,3000,3000,3,3,859.777393000084,0.2345034499958274,0.32070000000312576,48.07898649999697
time_split_0,1000,1000,1000,9,9,367.928291600183,0.15185195000231033,0.21421284499592727,38.34226730000228
time_split_1,1000,1000,999,8,8,292.60071689986216,0.1303009499970358,0.1948163650034985,36.45841949999158
unit_split_0,1000,1000,1000,6,6,310.72399470010714,0.13931820000289008,0.19679208500383538,42.20416989999649
unit_split_1,1000,1000,998,9,9,328.664960399954,0.1385574500018265,0.1944567350037687,42.002219099988
