target,target_applicability,R_attempted,R_point,R_inference,mean_truth,mean_estimate,bias,RMSE,MC_SD_error_point_set,MC_SD_error_inference_set,Mean_SE,SE_over_SD_same_inference_set,coverage_95pct,coverage_MC_SE,rejection_probability_zero,power_nonzero_truth,mean_interval_length,point_retention_rate,inference_retention_rate,numerical_failure_count,boundary_active_count,Riesz_failure_count,Gram_failure_count,time_split_failure_count,unit_split_failure_count,split_fit_failure_count,variance_failure_count,extreme_standardized_error_count
A_G1_fixed_time,theorem_covered,1000,1000,999,0.49985981630073245,0.4849517775060287,-0.014908038794703718,0.0866335419918116,0.08538390591166069,0.08542573461435506,0.07610955505861525,0.8909441095496965,0.9079079079079079,0.009148488044463601,0.990990990990991,0.990990990990991,0.29834945582977174,1.0,0.999,0,1,0,0,0,0,0,0,0
A_G1_time_average,theorem_covered,1000,1000,972,0.4972808325789817,0.48099454147085835,-0.016286291108123345,0.020341536738727965,0.0121935852954264,0.012134397335770158,0.012452257246057995,1.02619494825267,0.7561728395061729,0.013772679623503604,1.0,1.0,0.04881284840454734,1.0,0.972,0,26,0,0,0,0,2,0,0
A_G2_fixed_time,theorem_covered,1000,1000,999,0.5001734177127447,0.4855265615372765,-0.014646856175468124,0.08734853321559906,0.08615485196789192,0.08619446482949697,0.07619541486656975,0.8839942914814014,0.9039039039039038,0.00932462251226194,0.990990990990991,0.990990990990991,0.2986860262769534,1.0,0.999,0,1,0,0,0,0,0,0,0
A_G2_minus_G1_fixed_time,weak-target stress diagnostic outside headline Assumption-10 coverage,1000,1000,999,0.00031360141201222387,0.0005747840312478111,0.0002611826192355874,0.014350062495033901,0.01435486465941696,0.014357003812897286,0.012909972754025216,0.899210790933122,0.9419419419419419,0.00739878787468595,0.10710710710710711,0.10710710710710711,0.05060709319577884,1.0,0.999,0,1,0,0,0,0,0,0,0
A_G2_minus_G1_time_average,theorem_covered,1000,1000,972,0.00037040186072891026,0.0005591276150953507,0.00018872575436644024,0.014675494493833676,0.014681623592078665,0.014659441897361186,0.015650252495980004,1.0675885620718735,0.9619341563786008,0.006137722796136391,0.06893004115226338,0.06893004115226338,0.061348989784241616,1.0,0.972,0,26,0,0,0,0,2,0,0
A_G2_time_average,theorem_covered,1000,1000,972,0.4976512344397106,0.48155366908595376,-0.0160975653537569,0.019863241009909962,0.01164269235978857,0.011669503219049068,0.012464037669045268,1.0680863988022402,0.7757201646090535,0.013378718698759286,1.0,1.0,0.04885902766265745,1.0,0.972,0,26,0,0,0,0,2,0,0
A_entry,theorem_covered,1000,1000,999,0.4980103035903442,0.4806216324779177,-0.017388671112426472,0.11340008177361295,0.11211504112139288,0.11216172217880761,0.09901551209125743,0.8827923659500113,0.8938938938938938,0.009743846411761728,0.987987987987988,0.987987987987988,0.3881408073977291,1.0,0.999,0,1,0,0,0,0,0,0,0
A_fixed_time_mean,theorem_covered,1000,1000,999,0.5000166170067386,0.4852391695216526,-0.014777447485085922,0.08669537100144939,0.08546940632953293,0.08551017519103746,0.07586225521898195,0.8871722581493818,0.9039039039039038,0.00932462251226194,0.990990990990991,0.990990990990991,0.2973800404584092,1.0,0.999,0,1,0,0,0,0,0,0,0
A_full_mean,theorem_covered,1000,1000,972,0.4974660335093461,0.481274105278406,-0.016191928230940136,0.018716855919084247,0.009393103110574735,0.009380066250050905,0.009693797973324968,1.0334466425833997,0.6111111111111112,0.015636506330834014,1.0,1.0,0.037999688055433876,1.0,0.972,0,26,0,0,0,0,2,0,0
B_G1_fixed_time,theorem_covered,1000,1000,999,0.6027935827042192,0.595897711582049,-0.006895871122170169,0.17856466113773967,0.17852074059762843,0.17860903277193496,0.15002823114475378,0.8399812082086807,0.8998998998998999,0.009495801193177453,0.8948948948948949,0.8948948948948949,0.5881106660874348,1.0,0.999,0,1,0,0,0,0,0,0,0
