dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,kappa_f_b,theoretical_factor_b_lower,theoretical_factor_b_upper,mean_b,sd_b,min_b,max_b,theoretical_coefficient_envelope,B_G1_fixed_time_true,B_G2_fixed_time_true,B_G2_minus_G1_fixed_time_true,B_G1_time_average_true,B_G2_time_average_true,B_G2_minus_G1_time_average_true
1,50,50,0.645535658568477,1.7614369296308416,0.3,0.3,0.65,0.6499999999999201,0.15,0.15000000000000008,1.0499999999999998,0.6081673809320671,0.2945118856861428,0.06972365234223946,1.6591287693663415,5.9083908456061724,,,,,,
1,50,50,0.645535658568477,1.7977130334168616,0.3,0.3,0.65,0.6500000000023134,0.2,0.0,1.2,0.610865551454332,0.3278184582734542,0.030988360717520938,1.8759555847972722,6.030071841342136,,,,,,
1,100,100,0.6512099696029702,1.8929482304758696,0.3,0.3,0.65,0.6499999999999999,0.15,0.15000000000000008,1.0499999999999998,0.5989847793508271,0.28874021889933127,0.06667990854941079,1.6686369856547387,6.405332215528845,,,,,,
1,100,100,0.6512099696029702,1.9216539343213188,0.3,0.3,0.65,0.6499999999999999,0.2,0.0,1.2,0.5989574692787283,0.3225276098368336,0.02741635784088063,1.8907269226855046,6.502466181820393,,,,,,
1,200,200,0.6637371661028064,1.7874629567253018,0.3,0.3,0.65,0.6500000000000001,0.15,0.15000000000000008,1.0499999999999998,0.5981146649137323,0.2886062941218346,0.05983556484986337,1.6683360117549075,6.164744319297772,,,,,,
1,200,200,0.6637371661028064,1.815673922438218,0.3,0.3,0.65,0.6499999999999779,0.2,0.0,1.2,0.5978824608837652,0.321761621023589,0.016328737513586017,1.8865022232958253,6.2620405401600046,,,,,,
2,50,50,0.664120439139174,1.7715057368948965,0.3,0.30000000000000004,0.65,0.6499999999999906,0.15,0.15000000000000008,1.0499999999999998,0.595012683721124,0.2880613637299833,0.07481077868501886,1.6144060745737572,6.113237824807155,,,,,,
2,50,50,0.664120439139174,1.804320273544684,0.3,0.30000000000000004,0.65,0.6499999999999997,0.2,0.0,1.2,0.5953374584250843,0.31967773908563946,0.03546667861842894,1.8191700027880942,6.226476558655468,,,,,,
2,100,100,0.6506949936881274,1.8101040716153443,0.3,0.3,0.65,0.6499999999999946,0.15,0.15000000000000008,1.0499999999999998,0.5952030770757506,0.2876724269769698,0.07608823703988823,1.6624223306453703,6.120161643508752,,,,,,
2,100,100,0.6506949936881274,1.8403584319946342,0.3,0.3,0.65,0.6499999999989015,0.2,0.0,1.2,0.5952087883176315,0.3208236029506837,0.03774270250717022,1.8802587230027636,6.22245497506122,,,,,,
2,200,200,0.6585898132641753,1.8251832974053326,0.3,0.3,0.65,0.649999999999848,0.15,0.15000000000000008,1.0499999999999998,0.6037839300085789,0.2901959714512529,0.0650149765085712,1.6728727046951033,6.246020091226115,,,,,,
2,200,200,0.6585898132641753,1.85772228422595,0.3,0.3,0.65,0.6500000000046023,0.2,0.0,1.2,0.6053760509615662,0.32295666597244616,0.023583232758084553,1.892077797506738,6.357372833560894,,,,,,
3,50,50,0.6451123304037826,2.215051900351665,0.3,0.3,0.65,0.6499999999999991,0.15,0.15000000000000008,1.0499999999999998,0.6071682087714764,0.29017668357345755,0.07297090165123912,1.6725682550056427,7.425079902050903,,,,,,
3,50,50,0.6451123304037826,2.2389691135370904,0.3,0.3,0.65,0.649999999999901,0.2,0.0,1.2,0.6062908834943039,0.3237035401934535,0.025315663224237676,1.8940886949456037,7.5052528401694065,,,,,,
