dgp,N,T,calibration_draws,c_xi_lower,r2_at_positive_lower_end,large_c_xi_r2_floor,minimum_grid_r2,minimum_grid_c_xi,c_h,target_0_60_feasible,target_0_60_c_xi,target_0_60_root_residual,target_0_65_feasible,target_0_65_c_xi,target_0_65_root_residual,target_0_70_feasible,target_0_70_c_xi,target_0_70_root_residual
1,50,50,50,1e-08,1.0,0.5678703431121733,0.5678703431378542,100000000.0,0.645535658568477,True,3.0963895517243483,1.3766765505351941e-14,True,1.797713033448581,-8.881784197001252e-16,True,1.3060981655299018,5.6066262743570405e-14
1,100,100,50,1e-08,1.0,0.5779640329795239,0.5779640329810989,100000000.0,0.6512099696029702,True,3.726050949492822,0.0,True,1.9216539343213148,0.0,True,1.363030854904371,-1.9539925233402755e-14
1,200,200,50,1e-08,1.0,0.5655383084444112,0.5655380864059395,1258.9254117941714,0.6637371661028064,True,3.0406782730420323,0.0,True,1.8156739224382943,-2.786659791809143e-14,True,1.33062375448734,-2.220446049250313e-16
1,400,400,50,1e-08,1.0,0.5677034172297702,0.5677032854493447,1584.8931924611175,0.6585425904016242,True,3.0767684047849264,0.0,True,1.8029966844465442,-3.1086244689504383e-15,True,1.3159120702618576,0.0
2,50,50,50,1e-08,1.0,0.562675599291588,0.5626737008754796,446.6835921509635,0.664120439139174,True,2.9650577816931665,-1.1102230246251565e-16,True,1.804320273544724,-3.4416913763379853e-15,True,1.3240615947046634,-1.1102230246251565e-16
2,100,100,50,1e-08,1.0,0.5720926646313509,0.5720926646463702,100000000.0,0.6506949936881274,True,3.308076301352477,-2.220446049250313e-16,True,1.8403584319785877,0.0,True,1.324409785816416,0.0
2,200,200,50,1e-08,1.0,0.5700595478281171,0.5700595478314631,100000000.0,0.6585898132641753,True,3.2503409173494524,1.1102230246251565e-16,True,1.857722284291863,1.1102230246251565e-16,True,1.3473747115896304,-3.4861002973229915e-14
2,400,400,50,1e-08,1.0,0.5699519231613478,0.5699519231652037,100000000.0,0.6559857763714938,True,3.224432901716597,-1.1102230246251565e-16,True,1.8452368276297995,0.0,True,1.339001382215501,-4.241051954068098e-14
3,50,50,50,1e-08,1.0,0.5693013901726502,0.5693013907749926,100000000.0,0.6451123304037826,True,4.367563487158276,-1.2212453270876722e-14,True,2.2389691135351124,0.0,True,1.5524594698695828,-1.6653345369377348e-15
3,100,100,50,1e-08,1.0,0.5664723821312662,0.5664723827416982,100000000.0,0.6601847141017432,True,4.155565252635299,1.1102230246251565e-16,True,2.212904706223636,-5.551115123125783e-16,True,1.5507063839840625,-2.220446049250313e-15
3,200,200,50,1e-08,1.0,0.5731967010272472,0.5731967016270834,100000000.0,0.6471474045014252,True,4.706729849908109,0.0,True,2.2802267043772444,-1.0658141036401503e-14,True,1.5673320721409674,-2.220446049250313e-16
3,400,400,50,1e-08,1.0,0.5692002968127967,0.5692002974329234,100000000.0,0.6561915921546053,True,4.3262825790497725,0.0,True,2.2190276712755144,-1.1102230246251565e-16,True,1.5432889971758317,-5.329070518200751e-15
4,50,50,50,1e-08,1.0,0.5566387962604715,0.5566387968959187,100000000.0,0.6633625520572716,True,3.503805885937843,-1.2212453270876722e-15,True,2.0441339481263934,-3.452793606584237e-14,True,1.4637398039143568,-6.139533326177116e-14
4,100,100,50,1e-08,1.0,0.5494507467640729,0.5494507473892947,100000000.0,0.6591443182258843,True,3.1648240309274773,1.3322676295501878e-15,True,1.9516331229875972,-7.216449660063518e-15,True,1.4240561094408455,-2.220446049250313e-16
4,200,200,50,1e-08,1.0,0.5588927614220959,0.558892762051292,100000000.0,0.6581443849452747,True,3.531150164284289,0.0,True,2.0222734986694673,-1.5543122344752192e-15,True,1.4437186954445538,-6.8833827526759706e-15
4,400,400,50,1e-08,1.0,0.5529827958481256,0.5529827964793844,100000000.0,0.6559565357479976,True,3.3057177402528777,0.0,True,1.9898386686610747,0.0,True,1.4420058560635465,-4.551914400963142e-15
