record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history,dgp_realization_hash
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,4.446567236474695,1.6961243014830791,0.6185542214295197,13,True,False,2.3425190929307788e-05,True,8.763240204818825,0.9736933560909805,False,27.081403419767874,27.081403419767874,1.0,,,,,0.02707949999603443,,,,,,,,,full_fixed_rank:original_start_1,0.08414744855749112,8.763240204818825,"[0.08414744855749112, 4.879565326523562, 5.26627872660686, 6.851562020526642, 7.507202866917378, 8.352355633777737, 8.66953459316728, 8.782850183254675, 8.81520650784106, 8.81501922813647, 8.803041238321146, 8.788336642637661, 8.774645202314668, 8.763240204818825]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,4.454685445804909,1.6961305936310436,0.6192479549306151,14,True,False,3.201367897021196e-05,True,8.65812533485921,0.9620139260954679,False,27.09210400280211,27.09210400280211,1.0,,,,,0.037160800013225526,,,,,,,,,full_fixed_rank:original_start_2,0.07625391120048294,8.65812533485921,"[0.07625391120048294, 4.917279086441382, 6.258508760656431, 5.653528541818161, 6.045498497607583, 6.92108270549677, 7.4874637472718, 7.851826313885917, 8.105755725914136, 8.288049582112873, 8.419203059172062, 8.512866932502405, 8.57914829025451, 8.62567499304849, 8.65812533485921]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,4.452625914259666,1.6961285621308544,0.6190722969340512,13,True,False,2.5856965515254595e-05,True,8.72127991712316,0.9690311019025734,False,27.08206810734057,27.08206810734057,1.0,,,,,0.026979499991284683,,,,,,,,,full_fixed_rank:original_start_3,0.05946225176908826,8.72127991712316,"[0.05946225176908826, 4.271174696455654, 4.622524466625549, 5.265503749493662, 7.082490331015367, 8.05998223841217, 8.403732359227579, 8.535590400593799, 8.606887727375995, 8.652916838188245, 8.683097625668125, 8.702324663364534, 8.714180109245032, 8.72127991712316]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,time_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,4,1.7677990725595254,1.6528811318309202,0.06500622299921228,9,True,False,3.647038684202163e-05,True,10.768822797104423,1.196535866344936,True,20.42198084202433,20.42198084202433,1.0,,,,,0.013443500007269904,,,,,,,,,time_split_0,8.763240204818823,10.768822797104423,"[8.763240204818823, 10.596829436666997, 10.749940057551589, 10.777964966716347, 10.778640495028528, 10.77485434231999, 10.77174003285461, 10.769934872896139, 10.769098310408994, 10.768822797104423]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,time_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,5,1.6244495304066338,1.4500768420276744,0.10734263214401633,21,True,False,4.998361691678955e-05,True,5.80987892115958,0.6455421023510645,False,18.887036850101204,18.887036850101204,1.0,,,,,0.03202600000076927,,,,,,,,,time_split_1,5.027208892512817,5.80987892115958,"[5.027208892512817, 4.630772501554092, 5.004218998784808, 5.076870624257834, 5.081409783317755, 5.136330224688023, 5.252759568371672, 5.34422404670686, 5.418467032854337, 5.480293365027731, 5.532766922682958, 5.577902903979493, 5.6170770586712, 5.651270614312621, 5.681217293158123, 5.70749145457584, 5.730560908146123, 5.750818681240645, 5.768602363260058, 5.784206179646905, 5.797888838270275, 5.80987892115958]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,unit_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,6,1.79775961045416,1.6357524691672163,0.09011613140313936,15,True,False,2.7031776676747224e-05,True,9.334715428164868,1.0371906031294298,True,20.115727735789566,20.115727735789566,1.0,,,,,0.02801249999902211,,,,,,,,,unit_split_0,8.763240204818823,9.334715428164868,"[8.763240204818823, 9.657180766918035, 10.15377528416652, 10.225830897814904, 10.15052625368512, 10.020772218255386, 9.88294291644262, 9.757370506143541, 9.65122493490008, 9.565355298320926, 9.497781621037786, 9.445528963589085, 9.405557246522871, 9.375170609053223, 9.352144239249483, 9.334715428164868]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,fixed_rank,unit_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,7,1.586019383431075,1.4168967413532931,0.10663340173807626,11,True,False,5.196459616614552e-05,True,5.907360785299983,0.656373420588887,False,20.147269091439213,20.147269091439213,1.0,,,,,0.020472100004553795,,,,,,,,,unit_split_1,7.417744873931775,5.907360785299983,"[7.417744873931775, 6.227918013120779, 5.870245273284702, 5.800153501997302, 5.832167581879622, 5.852890097488664, 5.868373793371148, 5.880422506976715, 5.889855824856463, 5.8972180466029585, 5.902936855347807, 5.907360785299983]",67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00004_truth1-1-1,1,50,50,4,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,5.407499761564904,1.4949898922215972,0.7235339883234772,16,True,False,3.1214936122768756e-05,True,7.193530265489889,0.7992811406099877,False,26.841237718652163,26.841237718652163,1.0,,,,,0.03133840000373311,,,,,,,,,full_fixed_rank:original_start_1,0.08163939706036226,7.193530265489889,"[0.08163939706036226, 9.88545657505867, 9.23117026957729, 9.612699635488388, 8.831917785694262, 8.04184206132578, 7.69129173909178, 7.390970046830038, 7.085660326175665, 7.104421912792353, 7.121032461998413, 7.13612746817027, 7.150912730592205, 7.1646322879403135, 7.1764591807452875, 7.186062527446168, 7.193530265489889]",33dd02dca6cb6561052f2690ad45ef239ce14390894585434045c8d5364227d9
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00004_truth1-1-1,1,50,50,4,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,5.408627068842151,1.494986994219576,0.7235921472878302,11,True,False,2.5153098586171393e-05,True,7.188490287560156,0.7987211430622395,False,26.853246728119295,26.853246728119295,1.0,,,,,0.024254299991298467,,,,,,,,,full_fixed_rank:original_start_2,0.06902639278229289,7.188490287560156,"[0.06902639278229289, 6.354739233505088, 5.846348892478595, 6.398100066512206, 6.719703131800058, 6.89654945736175, 7.0076574986688005, 7.079229212474554, 7.125651844385048, 7.155866250830131, 7.1755847354571936, 7.188490287560156]",33dd02dca6cb6561052f2690ad45ef239ce14390894585434045c8d5364227d9
fit_diagnostic,b867e9855af0a3ac,dgp1_N50_T50_r00004_truth1-1-1,1,50,50,4,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,5.407639269506186,1.4949882085916988,0.7235414320215524,14,True,False,2.9112484316081294e-05,True,7.197888411974019,0.7997653791082243,False,26.842441084123433,26.842441084123433,1.0,,,,,0.03070760000264272,,,,,,,,,full_fixed_rank:original_start_3,0.07280257933023988,7.197888411974019,"[0.07280257933023988, 7.307739924938435, 10.282685321216707, 9.454177461632126, 7.84912346449786, 7.467202179859401, 7.3383230943219955, 7.256101472481865, 7.209521358100563, 7.187972973079036, 7.181652596149322, 7.183121616613643, 7.187737649232472, 7.193032062457836, 7.197888411974019]",33dd02dca6cb6561052f2690ad45ef239ce14390894585434045c8d5364227d9
