frozen_calibration_file,frozen_calibration_hash,design,dgp,N,T,true_rank_vector,c_h,c_xi,r2_scale_identified,intended_r2,calibrated_r2,pi_H,C_A,C_beta,C_H,C_Theta,B,c_B,activated
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,2,100,100,"[1, 1, 1]",0.6546536707079772,1.8615802982054275,True,0.65,0.6500000000022743,0.30000000000000004,0.85,2.031384387633061,6.33250094738017,6.33250094738017,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,2,200,200,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5308464938821446,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,2,200,200,"[1, 1, 1]",0.6546536707079772,1.8382633321197204,True,0.65,0.6499999999991135,0.30000000000000004,0.85,2.031384387633061,6.2531840841913455,6.2531840841913455,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,2,200,200,"[2, 1, 1]",0.6546536707079772,0.8383902514367484,True,0.65,0.6499999999986068,0.30000000000000004,0.85,2.031384387633061,2.851935566043277,2.851935566043277,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,2,200,200,"[1, 1, 1]",0.6546536707079772,1.8379999774164748,True,0.65,0.6499999999991628,0.30000000000000004,0.85,2.031384387633061,6.252288235696705,6.252288235696705,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,2,400,400,"[1, 1, 1]",0.6546536707079772,1.8384726560310767,True,0.65,0.6499999999990921,0.30000000000000004,0.85,2.031384387633061,6.253896137207941,6.253896137207941,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,2,50,50,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5303490191087232,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,2,50,50,"[1, 1, 1]",0.6546536707079772,1.7738865473681562,True,0.65,0.6499999999999947,0.30000000000000004,0.85,2.031384387633061,6.034194846487464,6.034194846487464,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,2,50,50,"[2, 1, 1]",0.6546536707079772,0.8250809825569785,True,0.65,0.6499999999997722,0.30000000000000004,0.85,2.031384387633061,2.8066616888587537,2.8066616888587537,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,2,50,50,"[1, 1, 1]",0.6546536707079772,1.7637507666211538,True,0.65,0.6499999999999599,0.30000000000000004,0.85,2.031384387633061,5.999716161230263,5.999716161230263,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,100,100,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5322227606458266,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,100,100,"[1, 1, 1]",0.6546536707079772,2.235340398045121,True,0.65,0.6499999999999366,0.30000000000000004,0.85,2.031384387633061,7.603913299890244,7.603913299890244,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,100,100,"[2, 1, 1]",0.6546536707079772,0.888589258667198,True,0.65,0.649999999998918,0.30000000000000004,0.85,2.031384387633061,3.0226965378642663,3.0226965378642663,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,baseline,3,100,100,"[1, 1, 1]",0.6546536707079772,2.177252381020268,True,0.65,0.6499999999999975,0.30000000000000004,0.85,2.031384387633061,7.406316439203696,7.406316439203696,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,200,200,"[1, 0, 2]",0.7301712917987002,1.0,False,,0.5351422818034989,0.30000000000000004,0.85,0.0,3.794081326870647,3.794081326870647,10.0,1.0,True
configs/mc/frozen_dgp_calibration.toml,e8983cadc4fbca990feeba6363420542a99ee056cf445e867532e2a6ea0e7d62,rank_stress,3,200,200,"[1, 1, 1]",0.6546536707079772,2.2547798387816633,True,0.65,0.6499999999994039,0.30000000000000004,0.85,2.031384387633061,7.670040061652475,7.670040061652475,10.0,1.0,True
