record_type,stratum_type,stratum_value,semantic_replication_id,dgp,N,T,replication,true_rank,path_proposal_count,distinct_path_rank_count,any_path_proposal_equals_truth,truth_proposal_frequency,modal_path_rank,modal_path_rank_frequency,path_rank_proposals
replication,replication,dgp3_N100_T100_r2026080903_truth1-1-1,dgp3_N100_T100_r2026080903_truth1-1-1,3.0,100.0,100.0,2026080903.0,"(1,1,1)",22,6,True,5,"[""(1,1,3)""]",7,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,2,3)"", ""(1,2,3)"", ""(1,3,3)"", ""(1,3,3)"", ""(1,3,3)""]"
replication,replication,dgp4_N100_T100_r2026080901_truth1-1-1,dgp4_N100_T100_r2026080901_truth1-1-1,4.0,100.0,100.0,2026080901.0,"(1,1,1)",22,4,True,5,"[""(1,1,3)""]",11,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)""]"
replication,replication,dgp4_N100_T100_r2026080902_truth1-1-1,dgp4_N100_T100_r2026080902_truth1-1-1,4.0,100.0,100.0,2026080902.0,"(1,1,1)",22,4,True,5,"[""(1,1,3)""]",12,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)""]"
replication,replication,dgp4_N100_T100_r2026080903_truth1-1-1,dgp4_N100_T100_r2026080903_truth1-1-1,4.0,100.0,100.0,2026080903.0,"(1,1,1)",22,5,True,4,"[""(1,1,3)""]",12,"[""(0,0,0)"", ""(0,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,0)"", ""(1,0,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,1)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)"", ""(1,1,3)""]"
summary,pooled,all,,,,,,"(1,1,1)",528,8,True,89,"[""(1,1,3)""]",144,
summary,N,50,,,,,,"(1,1,1)",264,8,True,32,"[""(1,1,3)""]",53,
summary,N,100,,,,,,"(1,1,1)",264,8,True,57,"[""(1,1,3)""]",91,
summary,DGP,1,,,,,,"(1,1,1)",132,8,True,26,"[""(1,3,3)""]",34,
summary,DGP,2,,,,,,"(1,1,1)",132,8,True,22,"[""(1,1,3)""]",48,
summary,DGP,3,,,,,,"(1,1,1)",132,8,True,19,"[""(1,1,3)""]",30,
summary,DGP,4,,,,,,"(1,1,1)",132,8,True,22,"[""(1,1,3)""]",49,
