record_type,semantic_replication_id,dgp,N,T,replication,matrix,true_rank,tau_NT,thresholded_rank,sigma_1_hat,sigma_2_hat,sigma_1_hat_over_tau_NT,sigma_2_hat_over_tau_NT,sigma_1_hat_minus_tau_NT,tau_NT_minus_sigma_2_hat,near_threshold_classification,singular_value_margin_available,minimum_signal_above_threshold_ratio,median_signal_above_threshold_ratio,minimum_noise_below_threshold_margin,near_threshold_classification_count,unavailability_reason
matrix,dgp2_N100_T100_r2026080901_truth1-1-1,2.0,100,100,2026080901.0,B,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080901_truth1-1-1,2.0,100,100,2026080901.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080902_truth1-1-1,2.0,100,100,2026080902.0,A,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080902_truth1-1-1,2.0,100,100,2026080902.0,B,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080902_truth1-1-1,2.0,100,100,2026080902.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080903_truth1-1-1,2.0,100,100,2026080903.0,A,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080903_truth1-1-1,2.0,100,100,2026080903.0,B,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp2_N100_T100_r2026080903_truth1-1-1,2.0,100,100,2026080903.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080901_truth1-1-1,3.0,100,100,2026080901.0,A,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080901_truth1-1-1,3.0,100,100,2026080901.0,B,1,10.857362047581296,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080901_truth1-1-1,3.0,100,100,2026080901.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080902_truth1-1-1,3.0,100,100,2026080902.0,A,1,10.857362047581296,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080902_truth1-1-1,3.0,100,100,2026080902.0,B,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080902_truth1-1-1,3.0,100,100,2026080902.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080903_truth1-1-1,3.0,100,100,2026080903.0,A,1,10.857362047581296,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080903_truth1-1-1,3.0,100,100,2026080903.0,B,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp3_N100_T100_r2026080903_truth1-1-1,3.0,100,100,2026080903.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080901_truth1-1-1,4.0,100,100,2026080901.0,A,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080901_truth1-1-1,4.0,100,100,2026080901.0,B,1,10.857362047581296,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080901_truth1-1-1,4.0,100,100,2026080901.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080902_truth1-1-1,4.0,100,100,2026080902.0,A,1,10.857362047581296,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080902_truth1-1-1,4.0,100,100,2026080902.0,B,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080902_truth1-1-1,4.0,100,100,2026080902.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080903_truth1-1-1,4.0,100,100,2026080903.0,A,1,10.857362047581296,1.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080903_truth1-1-1,4.0,100,100,2026080903.0,B,1,10.857362047581296,2.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
matrix,dgp4_N100_T100_r2026080903_truth1-1-1,4.0,100,100,2026080903.0,H,1,10.857362047581296,3.0,,,,,,,unavailable,False,,,,,accepted pilot matrix-specific singular values were not saved
N_summary,,,50,50,,all,1,6.390555465883287,,,,,,,,unavailable,False,,,,,minimum/median margins and near-threshold counts cannot be computed
N_summary,,,100,100,,all,1,10.857362047581296,,,,,,,,unavailable,False,,,,,minimum/median margins and near-threshold counts cannot be computed
