semantic_replication_id,diagnostic_replay,c_kappa,original_route_count,original_route_objectives,original_best_objective,original_second_best_objective,original_stability_gap,confirmation_objectives,confirmation_objective_gaps,number_confirmation_valid,number_confirmation_matching_best,confirmed_best_basin,final_pilot_acceptance_basis,pilot_now_passes,replay_primary_status,thresholded_pilot_rank,pilot_multistart_disagreement,multistart_objective_agreement,basin_confirmation_attempted,basin_confirmation_success
dgp1_N50_T50_r00002_truth1-1-1,True,4e-06,6,"[1.4840205145923895, 1.4840205145923895, 1.4840205145923895, 1.3374322823826592, 1.4840205145923895, 1.4840098626330025]",1.3374322823826592,1.4840098626330025,0.10959626306403547,"[1.3374138854304949, 1.3374138557251798, 1.3374063971096273]","[1.3755427027340009e-05, 1.3777637733248563e-05, 1.935445508001242e-05]",3,0,False,best_valid_route_disagreement_warning,True,success,"[1, 2, 2]",True,False,True,False
dgp3_N50_T50_r00000_truth1-1-1,True,4e-06,6,"[1.9866879291269903, 1.9866879291269903, 1.9866879291269903, 1.556584043245411, 1.9866946605935665, 1.5474148138510786]",1.5474148138510786,1.9866879291269903,0.2838754749818408,"[1.5473969703647856, 1.5473965285000546, 1.547395555428718]","[1.1531159022938604e-05, 1.1816709301423414e-05, 1.2445546073508337e-05]",3,0,False,best_valid_route_disagreement_warning,True,success,"[2, 1, 2]",True,False,True,False
