dgp,N,method,fit_role,fits_attempted,convergence_rate,unconstrained_inside_box_rate,constrained_fallback_rate,boundary_active_rate,constrained_solver_failure_rate,constrained_KKT_failure_rate,numerical_rank_loss_rate,median_iterations,p90_iterations,median_runtime_seconds,p90_runtime_seconds,maximum_runtime_seconds,median_max_abs_coefficient,p90_max_abs_coefficient
1,50,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,47.4,0.04226919999928214,0.07545533998636529,0.08080990001326427,5.723468180834877,9.826463619234843
1,50,fixed_rank,time_half_split,4,1.0,0.75,0.25,0.25,0.0,0.0,0.0,39.5,74.2,0.1313710000104038,7.044828739989318,9.968002699984936,7.725722558194698,9.677183461824736
1,50,fixed_rank,unit_half_split,4,1.0,0.75,0.25,0.25,0.0,0.0,0.0,35.5,81.70000000000002,0.12611975001345854,12.135672859990159,17.24182519997703,8.017039521259385,9.485736271245141
1,50,selected_rank,candidate_post_refit,194,0.8350515463917526,0.5154639175257731,0.4845360824742268,0.4793814432989691,0.0,0.12886597938144329,0.0,82.0,200.0,1.4281235999951605,65.15692790001631,103.835070000001,9.823064110882342,10.000000000000002
1,50,selected_rank,cap_pilot,294,0.9217687074829932,0.6156462585034014,0.3843537414965986,0.37755102040816324,0.0,0.061224489795918366,0.0,45.5,194.7,0.5950661499809939,37.42145927000383,94.44198880001204,8.477305186021391,10.000000000000002
1,50,selected_rank,full_panel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0010071999859064817,0.0010288000106811524,0.00103420001687482,0.0,0.0
1,50,selected_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0010100000072270632,0.0015224499948089942,0.0015787000011187047,0.0,0.0
1,50,selected_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0008643000182928517,0.001560750009957701,0.0015985000063665211,0.0,0.0
1,100,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,15.2,0.04978309999569319,0.05455093999044038,0.05723629999556579,6.345828812995913,6.885063473298573
1,100,fixed_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,0.032058149998192675,0.039108349999878556,0.039918099995702505,5.843657622951923,7.47456578708824
1,100,fixed_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,13.5,0.03338005000841804,0.042665849992772564,0.04919219997827895,6.3020859171178625,7.6816450538684204
1,100,selected_rank,candidate_post_refit,221,0.8190045248868778,0.7013574660633484,0.2986425339366516,0.29411764705882354,0.0,0.04072398190045249,0.0,94.0,200.0,2.4033637999964412,106.53877179999836,220.7269088999892,7.509222483140391,10.000000000000002
1,100,selected_rank,cap_pilot,382,0.8821989528795812,0.7801047120418848,0.2198952879581152,0.2198952879581152,0.0,0.020942408376963352,0.0,71.0,200.0,1.550174199990579,59.483195459999905,203.57954679999966,7.112968581673962,10.000000000000002
1,100,selected_rank,full_panel,3,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0018603999924380332,0.001874240004690364,0.0018777000077534467,0.0,0.0
1,100,selected_rank,time_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.001510200003394857,0.002166399994166568,0.0022391999955289066,0.0,0.0
1,100,selected_rank,unit_half_split,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.001492900017183274,0.0018912000086857006,0.002075900003546849,0.0,0.0
2,50,fixed_rank,full_panel,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20.0,24.4,0.03663420001976192,0.04221469998010434,0.045203099987702444,6.818857360689727,7.254052330061194
