dgp,N,method,fit_role,attempted_fits,unconstrained_outside_box_count,unconstrained_outside_box_rate,constrained_fallback_count,constrained_fallback_rate,boundary_active_count,boundary_active_rate,constrained_solver_failure_count,constrained_solver_failure_rate,constrained_feasibility_failure_count,constrained_feasibility_failure_rate,constrained_optimality_failure_count,constrained_optimality_failure_rate
4,50,fixed_rank,unit_half_split,4,3,0.75,3,0.75,3,0.75,0,0.0,0,0.0,0,0.0
4,50,selected_rank,candidate_post_refit,196,84,0.42857142857142855,84,0.42857142857142855,84,0.42857142857142855,0,0.0,0,0.0,19,0.09693877551020408
4,50,selected_rank,cap_pilot,379,145,0.38258575197889183,145,0.38258575197889183,145,0.38258575197889183,0,0.0,0,0.0,28,0.07387862796833773
4,50,selected_rank,full_panel,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,50,selected_rank,time_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,50,selected_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,fixed_rank,full_panel,9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,fixed_rank,time_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,fixed_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,selected_rank,candidate_post_refit,150,21,0.14,21,0.14,21,0.14,0,0.0,0,0.0,0,0.0
4,100,selected_rank,cap_pilot,413,52,0.12590799031476999,52,0.12590799031476999,52,0.12590799031476999,0,0.0,0,0.0,0,0.0
4,100,selected_rank,full_panel,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,selected_rank,time_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
4,100,selected_rank,unit_half_split,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
