dgp,N,selected_rank_vector,count,rate
1,50,"[0, 0, 0]",3,1.0
1,100,"[0, 0, 0]",3,1.0
2,50,"[0, 0, 0]",3,1.0
2,100,"[0, 0, 0]",3,1.0
3,50,"[0, 0, 0]",3,1.0
3,100,"[0, 0, 0]",3,1.0
4,50,"[0, 0, 0]",3,1.0
4,100,"[0, 0, 0]",3,1.0
