dgp,N,method,target,attempted,target_support_rate,gram_min_eigenvalue_min,gram_max_eigenvalue_max,condition_number_max,riesz_residual_max,riesz_convergence_rate,target_rayleigh_min,invalid_variance_count,nonfinite_SE_count
1,50,fixed_rank,A_G1_fixed_time,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,8.045758352541914e-09,1.0,2.7013377265072425,0,0
1,50,fixed_rank,A_G1_time_average,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,9.125987672335993e-09,1.0,0.8312132215354541,0,0
1,50,fixed_rank,A_G2_fixed_time,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,8.45044797932842e-09,1.0,2.727029790646231,0,0
1,50,fixed_rank,A_G2_minus_G1_time_average,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,8.727635032370631e-09,1.0,2.5184302948665707,0,0
1,50,fixed_rank,A_G2_time_average,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,8.45440585518284e-09,1.0,0.8949345107607973,0,0
1,50,fixed_rank,A_entry,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,9.970490104246065e-09,1.0,3.199592178726605,0,0
1,50,fixed_rank,A_fixed_time_mean,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,8.157990573019325e-09,1.0,2.724495504437071,0,0
1,50,fixed_rank,A_full_mean,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,9.957615379706173e-09,1.0,0.6191866614299754,0,0
1,50,fixed_rank,B_G1_fixed_time,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,9.811908096998449e-09,1.0,0.6310131346196867,0,0
1,50,fixed_rank,B_G1_time_average,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,7.497215230351075e-09,1.0,0.6699507802675511,0,0
1,50,fixed_rank,B_G2_fixed_time,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,7.709859221314198e-09,1.0,0.6703800896087423,0,0
1,50,fixed_rank,B_G2_minus_G1_time_average,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,7.732948204661747e-09,1.0,0.6815780968980133,0,0
1,50,fixed_rank,B_G2_time_average,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,9.702413703227445e-09,1.0,0.635388011823257,0,0
1,50,fixed_rank,B_entry,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,7.861776218373568e-09,1.0,0.8708750096656025,0,0
1,50,fixed_rank,B_fixed_time_mean,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,6.795548787905625e-09,1.0,0.6439743056782979,0,0
1,50,fixed_rank,B_full_mean,2,1.0,0.1308897122525601,28.12915501577578,214.90730273360805,9.094012249557142e-09,1.0,0.6285901522923152,0,0
1,50,selected_rank,A_G1_fixed_time,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,A_G1_time_average,3,0.0,,,,,0.0,,3,3
1,50,selected_rank,A_G2_fixed_time,3,0.0,,,,,0.0,,3,3
