record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,dgp_realization_hash,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[10, 9, 17]",warm_nuclear_path,11,2.2099079122217944,2.1764136832222087,0.015156391275105787,500,False,True,,,4.025301291996088,0.4472556991106765,False,,,,,,,,3.431733000004897,,,10.0,0.0049524161475531184,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[10, 10, 21]",warm_nuclear_path,12,1.9045558948758563,1.8780435280910939,0.013920498136123526,500,False,True,,,4.51834310220583,0.5020381224673145,False,,,,,,,,3.3758832000021357,,,11.0,0.003961932918042495,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[11, 11, 22]",warm_nuclear_path,13,1.6170381909982385,1.5973422457167674,0.012180259805312522,500,False,True,,,4.816912412814174,0.535212490312686,False,,,,,,,,3.464453200023854,,,12.0,0.003169546334433996,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[11, 12, 25]",warm_nuclear_path,14,1.356677922042942,1.3427059906070755,0.01029863551905295,500,False,True,,,5.102093589297155,0.5668992876996839,False,,,,,,,,3.4169238999893423,,,13.0,0.0025356370675471973,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[12, 12, 28]",warm_nuclear_path,15,1.1276053259651526,1.1179633861526388,0.00855081081162949,500,False,True,,,5.3173010384794575,0.5908112264977174,False,,,,,,,,3.425999800005229,,,14.0,0.002028509654037758,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[12, 12, 29]",warm_nuclear_path,16,0.9303830536283754,0.92361399178241,0.006769061845965374,500,False,True,,,5.556569944440065,0.6173966604933406,False,,,,,,,,3.4504394000105094,,,15.0,0.0016228077232302064,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[12, 13, 31]",warm_nuclear_path,17,0.7627623341243221,0.758170363704778,0.004591970419544178,500,False,True,,,5.891693729106122,0.6546326365673469,False,,,,,,,,3.431220900005428,,,16.0,0.0012982461785841651,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[13, 13, 32]",warm_nuclear_path,18,0.6222151884455707,0.6191605561199648,0.003054632325605877,500,False,True,,,6.169411845665566,0.6854902050739518,False,,,,,,,,3.393811199988704,,,17.0,0.0010385969428673323,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[13, 13, 33]",warm_nuclear_path,19,0.505587167504397,0.5035552145822781,0.002031952922118885,500,False,True,,,6.408229002132848,0.7120254446814276,False,,,,,,,,3.3641118000086863,,,18.0,0.0008308775542938658,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
fit_diagnostic,6e4214ce260ae6c3,dgp1_N50_T50_r00003_truth1-1-1,1,50,50,3,selected_rank,nuclear_path,,,"[13, 13, 34]",warm_nuclear_path,20,0.4095160150082359,0.4081823346498806,0.0013336803583553491,500,False,True,,,6.604237012592987,0.7338041125103318,False,,,,,,,,3.3856941999983974,,,19.0,0.0006647020434350927,,nuclear_screening,,,67b3f9028ad66f677b71fe9f03e6982e2af1a6f7f48540b487ed98fb1958abcd,,,,
