baseline_requested_n_jobs,comparison_requested_n_jobs,comparison_effective_n_jobs,scientific_record_count,compared_field_count,structure_equal,mismatch_count,maximum_absolute_numeric_difference,maximum_relative_numeric_difference,scientific_equivalence_pass,floating_rtol,floating_atol
1,1,1,181,1544,True,0,0.0,0.0,True,1e-10,1e-12
1,4,4,181,1544,True,0,0.0,0.0,True,1e-10,1e-12
