dgp,N,T,true_rank_vector,mean_rank_runtime_seconds,mean_candidate_count,mean_ic_gap,successful_replications,requested_replications
1,50,50,"[1, 1, 1]",12.77440779999597,14.0,0.5708829577236538,1,1
2,50,50,"[1, 1, 1]",27.811600800007,14.0,0.6843509075230316,1,1
3,50,50,"[1, 1, 1]",3.6457053999911295,7.0,0.976553278600814,1,1
4,50,50,"[1, 1, 1]",32.25305699999444,13.0,0.9349190825057154,1,1
