semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,1,"(1,0,2)",3,0,0,0,3,0,0.0007362183884770945,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,2,"(1,0,2)",3,0,0,0,3,0,0.0006056302277926973,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00000_truth1-1-1,1,200,200,0,"(1,1,1)",3,0,0,0,3,0,0.0018287166495289942,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00001_truth1-1-1,1,200,200,1,"(1,1,1)",3,0,0,0,3,0,0.001470657745022308,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00002_truth1-1-1,1,200,200,2,"(1,1,1)",3,0,0,0,3,1,0.0014452324150366902,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00000_truth2-1-1,1,200,200,0,"(2,1,1)",3,0,0,0,3,0,0.00021737733029042472,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,1,"(2,1,1)",3,0,0,0,3,0,0.000696774082293572,,False,False,rank_selection_numerically_unresolved
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,2,"(2,1,1)",3,0,0,0,3,0,0.00038260455487731937,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00000_truth1-0-2,2,50,50,0,"(1,0,2)",3,0,0,0,3,3,0.0043570146189149395,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00001_truth1-0-2,2,50,50,1,"(1,0,2)",3,0,0,0,3,3,0.003608357641529808,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00002_truth1-0-2,2,50,50,2,"(1,0,2)",3,0,0,0,3,3,0.0034566891055069493,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00000_truth1-1-1,2,50,50,0,"(1,1,1)",3,0,0,0,3,3,0.02942211018092422,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00001_truth1-1-1,2,50,50,1,"(1,1,1)",3,0,0,0,3,3,0.013982886993024135,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00002_truth1-1-1,2,50,50,2,"(1,1,1)",3,0,0,0,3,3,0.023916861309626503,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00000_truth2-1-1,2,50,50,0,"(2,1,1)",3,0,0,0,3,2,0.003305561206075072,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00001_truth2-1-1,2,50,50,1,"(2,1,1)",3,0,0,0,3,3,0.0045827247853848785,,False,False,rank_selection_numerically_unresolved
dgp2_N50_T50_r00002_truth2-1-1,2,50,50,2,"(2,1,1)",3,0,0,0,3,0,0.005491666099247075,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,0,"(1,0,2)",3,0,0,0,3,0,0.0015282992708223198,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,1,"(1,0,2)",3,0,0,0,3,0,0.0017548698150273712,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00002_truth1-0-2,2,100,100,2,"(1,0,2)",3,0,0,0,3,1,0.0012552093615212923,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00000_truth1-1-1,2,100,100,0,"(1,1,1)",3,0,0,0,3,1,0.004907097957034701,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00001_truth1-1-1,2,100,100,1,"(1,1,1)",3,0,0,0,3,2,0.010004312116353442,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00002_truth1-1-1,2,100,100,2,"(1,1,1)",3,1,0,1,2,1,0.008180208246253429,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,0,"(2,1,1)",3,0,0,0,3,0,0.0011365769013194083,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00001_truth2-1-1,2,100,100,1,"(2,1,1)",3,1,1,0,2,0,0.00046898865947767043,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T100_r00002_truth2-1-1,2,100,100,2,"(2,1,1)",3,0,0,0,3,0,0.0015842341885054234,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00000_truth1-0-2,2,100,200,0,"(1,0,2)",3,0,0,0,3,0,0.0014804842195773604,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00001_truth1-0-2,2,100,200,1,"(1,0,2)",3,1,0,1,2,1,0.0005699826095240668,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,2,"(1,0,2)",3,0,0,0,3,0,0.0012765370440843693,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00000_truth1-1-1,2,100,200,0,"(1,1,1)",3,2,0,2,1,2,0.006096201728160944,0.0054157882094966504,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00001_truth1-1-1,2,100,200,1,"(1,1,1)",3,0,0,0,3,0,0.007210892987190798,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00002_truth1-1-1,2,100,200,2,"(1,1,1)",3,0,0,0,3,0,0.0015856707405970116,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00000_truth2-1-1,2,100,200,0,"(2,1,1)",3,1,1,0,2,0,0.0008082169483953072,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,1,"(2,1,1)",3,0,0,0,3,0,0.0003607060211641422,,False,False,rank_selection_numerically_unresolved
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,2,"(2,1,1)",3,1,1,0,2,0,0.0019967799090624128,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00000_truth1-0-2,2,200,100,0,"(1,0,2)",3,0,0,0,3,1,0.0019805914368906663,,False,False,rank_selection_numerically_unresolved
dgp2_N200_T100_r00001_truth1-0-2,2,200,100,1,"(1,0,2)",3,0,0,0,3,0,0.0007582557265490841,,False,False,rank_selection_numerically_unresolved
