semantic_replication_id,dgp,N,T,replication,true_rank_vector,total_starts,individually_valid_starts,interior_path_successes,constrained_path_successes,stationarity_or_kkt_failures,boundary_active_starts,objective_spread_all_starts,best_valid_pair_normalized_gap,objective_stability_pass,pilot_accepted,primary_status
dgp4_N100_T200_r00002_truth2-1-1,4,100,200,2,"(2,1,1)",3,0,0,0,3,0,0.0008205595002739041,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00000_truth1-0-2,4,200,100,0,"(1,0,2)",3,0,0,0,3,0,0.002020971415647499,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00001_truth1-0-2,4,200,100,1,"(1,0,2)",3,0,0,0,3,0,0.0019290859980437558,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00002_truth1-0-2,4,200,100,2,"(1,0,2)",3,0,0,0,3,0,0.0016922281268222927,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00000_truth1-1-1,4,200,100,0,"(1,1,1)",3,0,0,0,3,2,0.0012127391275211785,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00001_truth1-1-1,4,200,100,1,"(1,1,1)",3,0,0,0,3,3,0.005743745098613973,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00002_truth1-1-1,4,200,100,2,"(1,1,1)",3,0,0,0,3,0,0.007370464143763078,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00000_truth2-1-1,4,200,100,0,"(2,1,1)",3,0,0,0,3,0,0.0009154682973119832,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00001_truth2-1-1,4,200,100,1,"(2,1,1)",3,0,0,0,3,0,0.000163476897821202,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T100_r00002_truth2-1-1,4,200,100,2,"(2,1,1)",3,0,0,0,3,0,0.0013303988633236452,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00000_truth1-0-2,4,200,200,0,"(1,0,2)",3,0,0,0,3,0,0.00039931543720367335,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00001_truth1-0-2,4,200,200,1,"(1,0,2)",3,1,1,0,2,0,0.0006086408841338709,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00002_truth1-0-2,4,200,200,2,"(1,0,2)",3,0,0,0,3,0,0.0006410495883747425,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00000_truth1-1-1,4,200,200,0,"(1,1,1)",3,0,0,0,3,0,0.0005116355493710589,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00001_truth1-1-1,4,200,200,1,"(1,1,1)",3,0,0,0,3,0,0.0035044073461529823,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00002_truth1-1-1,4,200,200,2,"(1,1,1)",3,0,0,0,3,0,0.0005952522016363648,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00000_truth2-1-1,4,200,200,0,"(2,1,1)",3,1,1,0,2,0,0.00012864229445685993,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00001_truth2-1-1,4,200,200,1,"(2,1,1)",3,0,0,0,3,0,0.00018506957584418782,,False,False,rank_selection_numerically_unresolved
dgp4_N200_T200_r00002_truth2-1-1,4,200,200,2,"(2,1,1)",3,0,0,0,3,0,2.284878810915325e-05,,False,False,rank_selection_numerically_unresolved
