record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,max_abs_coefficient,coefficient_envelope_ratio,coefficient_bound_hit,unconstrained_max_abs,unconstrained_inside_box,unconstrained_outside_box,constrained_fallback_used,boundary_active,max_constraint_violation,constrained_KKT_residual,constrained_iterations,constrained_runtime,constrained_runtime_seconds,constrained_solver_status,constrained_objective,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history,dgp_realization_hash
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,5.445369302453728,1.7208814952061522,0.6839734094011386,13,True,False,2.667512013063594e-07,True,6.345828812995913,6.345828812995913,0.6345828812995913,False,6.345828812995912,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,49.87651881301411,49.87651881301411,1.0,,,,,0.046724699990591034,,,,,,,,,full_fixed_rank:original_start_1,0.08899448688675624,6.345828812995912,"[0.08899448688675624, 4.196637878678726, 5.395807999101652, 5.493116789367044, 6.052559705171903, 6.248573063912268, 6.315292649336975, 6.337495124045465, 6.344305764035909, 6.346060230219652, 6.346289700136781, 6.346143902907743, 6.345963824074718, 6.345828812995912]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,5.445979925480924,1.7208814943923965,0.6840088435984404,11,True,False,1.89222126290638e-07,True,6.345094512871645,6.345094512871645,0.6345094512871645,False,6.345094512871645,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,49.87662553711788,49.87662553711788,1.0,,,,,0.03981330001261085,,,,,,,,,full_fixed_rank:original_start_2,0.059470274128000974,6.345094512871645,"[0.059470274128000974, 6.58099659631755, 6.248734389737279, 5.858998526794757, 6.175385201743236, 6.279506665602039, 6.31822201249883, 6.333741434566084, 6.340308453948588, 6.343194381672237, 6.34449621429838, 6.345094512871645]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,5.447200336822377,1.7208814965331614,0.6840796390578435,12,True,False,3.4601363400036884e-07,True,6.345972256107561,6.345972256107561,0.634597225610756,False,6.345972256107561,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,49.87645900284753,49.87645900284753,1.0,,,,,0.04311200001393445,,,,,,,,,full_fixed_rank:original_start_3,0.09384134124210147,6.345972256107561,"[0.09384134124210147, 7.312954551200278, 6.719802628936837, 6.236444712956763, 6.304976247877395, 6.33442858847037, 6.3446839701408315, 6.347444982013107, 6.347624730615437, 6.347131519685873, 6.346610577628986, 6.346223525692929, 6.345972256107561]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,time_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,4,1.7180897629025935,1.6548488710954636,0.03680884036017349,14,True,False,5.545768805668987e-07,True,7.78304872770426,7.78304872770426,0.778304872770426,False,7.78304872770426,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,34.98228650258054,34.98228650258054,1.0,,,,,0.039918099995702505,,,,,,,,,time_split_0,6.345094512871646,7.78304872770426,"[6.345094512871646, 7.2277440919397025, 7.472063070623003, 7.587547080837466, 7.653838970119337, 7.695512711705107, 7.723049217364923, 7.741822498136604, 7.7548901370253835, 7.7641152147270915, 7.7706905850827654, 7.775408353680039, 7.778808726342461, 7.781267275805604, 7.78304872770426]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,time_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,5,1.7236732258821994,1.6428255905678015,0.046904270542938296,14,True,False,7.13719510298852e-07,True,5.687244373139718,5.687244373139718,0.5687244373139718,False,5.687244373139718,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,36.71179844954645,36.71179844954645,1.0,,,,,0.038298600004054606,,,,,,,,,time_split_1,5.001899203145983,5.687244373139718,"[5.001899203145983, 5.451823758290729, 5.54340351752561, 5.580740058776729, 5.594720506838513, 5.624998075833862, 5.6499691381825485, 5.664843338504587, 5.673794962842641, 5.67923678762136, 5.682575579265944, 5.684641009442928, 5.685928068424654, 5.686735262693161, 5.687244373139718]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,unit_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,6,1.6155771397784182,1.5529078956932931,0.038790623203371385,14,True,False,7.213822895484819e-07,True,6.763923288310546,6.763923288310546,0.6763923288310546,False,6.763923288310546,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,35.143177926920075,35.143177926920075,1.0,,,,,0.04919219997827895,,,,,,,,,unit_split_0,5.622441089525823,6.763923288310546,"[5.622441089525823, 6.117773977466527, 6.6013121936268595, 6.717145572971924, 6.75046325572335, 6.760813179786969, 6.764068307214743, 6.764966054041113, 6.765052417646847, 6.764872623433081, 6.764629127160244, 6.7643968866126665, 6.7642004069632735, 6.764043792185522, 6.763923288310546]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080901_truth1-1-1,1,100,100,2026080901,fixed_rank,unit_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,7,1.8261858490063752,1.7744346029083633,0.02833843342186099,13,True,False,5.647209906686822e-07,True,6.060106050703147,6.060106050703147,0.6060106050703147,False,6.060106050703147,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,36.41235550360122,36.41235550360122,1.0,,,,,0.03613950000726618,,,,,,,,,unit_split_1,6.345094512871644,6.060106050703147,"[6.345094512871644, 6.101546100020989, 6.0713926311796, 6.057471878541754, 6.0549934571939295, 6.055848080136175, 6.057181747046431, 6.058262936960662, 6.059004994908665, 6.059478657731497, 6.059769391882647, 6.05994358909117, 6.060046262512145, 6.060106050703147]",a19576a6645414694a4ac3a884a1cf01beb43de08ec544a688b482501202009a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,5.174894611124619,1.692159221212961,0.6730060516449402,12,True,False,2.1885111829279863e-07,True,6.0659229106861465,6.0659229106861465,0.6065922910686147,False,6.0659229106861465,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,48.18558332968721,48.18558332968721,1.0,,,,,0.04386399997747503,,,,,,,,,full_fixed_rank:original_start_1,0.079546354379485,6.0659229106861465,"[0.079546354379485, 3.5550455503354983, 5.530729447613024, 5.393111312145621, 5.714720965966884, 5.918714169079812, 6.003553949216444, 6.039308507227776, 6.054602746660797, 6.061217902295889, 6.0641017571820575, 6.065366165067243, 6.0659229106861465]",65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,5.170455639223028,1.692159220790815,0.6727253188376453,15,True,False,1.728083903853837e-07,True,6.0667077013199,6.0667077013199,0.60667077013199,False,6.0667077013199,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,48.18578093873843,48.18578093873843,1.0,,,,,0.05387959998915903,,,,,,,,,full_fixed_rank:original_start_2,0.09460920699968775,6.0667077013199,"[0.09460920699968775, 5.009194840601129, 4.646412654104665, 7.760949251933901, 7.410248133102214, 6.705540004220605, 6.398202291091109, 6.23000936425879, 6.144913756439341, 6.103445190153838, 6.08365514322628, 6.07435090389801, 6.070026418880675, 6.068034185803465, 6.067122622911227, 6.0667077013199]",65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a
fit_diagnostic,f87b622f889053fe,dgp1_N100_T100_r2026080902_truth1-1-1,1,100,100,2026080902,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,5.169692369762528,1.692159220830563,0.6726769989781243,14,True,False,1.5849504059678665e-07,True,6.06672801899232,6.06672801899232,0.606672801899232,False,6.06672801899232,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,48.18580092866818,48.18580092866818,1.0,,,,,0.05054779999773018,,,,,,,,,full_fixed_rank:original_start_3,0.08164425955492972,6.06672801899232,"[0.08164425955492972, 6.12758354091789, 6.0872483343531085, 6.045375421670158, 6.719699946695003, 6.494422987433871, 6.2774733405070515, 6.164506117365155, 6.11106468808784, 6.086541703688933, 6.0754306510139156, 6.070427782518217, 6.068182916964623, 6.067177639747633, 6.06672801899232]",65254bae1963e6754d5f71d411da54e31423c78072ef3e1edb7d04948ba8934a
