dgp,N,T,target,mean_rank_runtime_seconds,mean_inference_runtime_seconds,mean_replication_runtime_seconds,successful_replications,requested_replications
1,20,20,A_fixed_time_mean,0.443687899998622,0.02091744999779621,0.46607829999993555,2,2
1,20,20,A_full_mean,0.443687899998622,0.38614284999857773,0.8827825999978813,2,2
2,20,20,A_fixed_time_mean,0.7405686499987496,0.11940504999802215,0.8625090999994427,2,2
2,20,20,A_full_mean,0.7405686499987496,0.6789997499981837,1.5859425499984354,2,2
3,20,20,A_fixed_time_mean,0.6233832500001881,0.03974374999961583,0.6655426999968768,2,2
3,20,20,A_full_mean,0.6233832500001881,0.5639998499973444,1.2664756999984093,2,2
4,20,20,A_fixed_time_mean,0.6568073500020546,0.07003700000495883,0.7299831499985885,2,2
4,20,20,A_full_mean,0.6568073500020546,0.71910315000423,1.4902197500014154,2,2
