record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history,dgp_realization_hash
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,5.259380899731122,1.5290338123170804,0.7092749429129102,7,True,False,5.7803663802230985e-06,True,6.267676222182072,0.6964084691313412,False,53.52234107884609,53.52234107884609,1.0,,,,,0.03064979999908246,,,,,,,,,full_fixed_rank:original_start_1,0.1068079726064252,6.267676222182071,"[0.1068079726064252, 6.0345233303888195, 6.493925426525104, 6.175629797917733, 6.257776977885844, 6.2589375210639435, 6.264489583569795, 6.267676222182071]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,5.261050916337299,1.5290335545396512,0.7093672768321825,8,True,False,8.857090318354117e-06,True,6.278807880340875,0.697645320037875,False,53.512932055553634,53.512932055553634,1.0,,,,,0.0351401999942027,,,,,,,,,full_fixed_rank:original_start_2,0.08773918443358743,6.278807880340875,"[0.08773918443358743, 11.14229882807107, 11.595320925386462, 7.797970016504395, 6.8515308305473654, 6.479005634299936, 6.3411206499476895, 6.294141148533191, 6.278807880340875]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,5.260676276507211,1.5290338324944492,0.7093465265439901,10,True,False,4.946085509408653e-06,True,6.263003167637827,0.6958892408486475,False,53.52464753010687,53.52464753010687,1.0,,,,,0.04599189999862574,,,,,,,,,full_fixed_rank:original_start_3,0.0837642187801644,6.2630031676378275,"[0.0837642187801644, 7.384759704609941, 5.478220442589695, 5.696264749417615, 6.005238948269425, 6.130467985219199, 6.173555962745507, 6.208316731357336, 6.230303234967723, 6.2525640384429755, 6.2630031676378275]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,time_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,4,1.5475431488424047,1.5040769315578588,0.028087240938683727,5,True,False,7.5181845217549185e-06,True,7.431961269873237,0.8257734744303596,False,38.05839526055999,38.05839526055999,1.0,,,,,0.018575699999928474,,,,,,,,,time_split_0,6.278807880340875,7.431961269873237,"[6.278807880340875, 7.252494457058528, 7.358623931444016, 7.399931781462018, 7.420804714806866, 7.431961269873237]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,time_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,5,1.5105239602368976,1.4702954965560995,0.02663212550067001,5,True,False,7.794651625545708e-06,True,6.549824937401636,0.7277583263779596,False,38.266517995234814,38.266517995234814,1.0,,,,,0.018450100003974512,,,,,,,,,time_split_1,6.207412698185071,6.549824937401636,"[6.207412698185071, 6.487781088156905, 6.538350422016672, 6.548680366727731, 6.550212819777838, 6.549824937401636]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,unit_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,6,1.5978283757699487,1.5331857069303556,0.04045657832834746,5,True,False,5.942929534513414e-06,True,7.593617810300753,0.8437353122556392,False,37.614547464197535,37.614547464197535,1.0,,,,,0.021420199977001175,,,,,,,,,unit_split_0,5.871265657665033,7.593617810300753,"[5.871265657665033, 6.9848528040517746, 7.410632704384586, 7.532745562829855, 7.576134880256781, 7.593617810300753]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00006_truth1-1-1,1,100,100,6,fixed_rank,unit_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,7,1.460238733309354,1.4050378239417922,0.03780266069402189,5,True,False,6.915953025545889e-06,True,8.138358126441645,0.9042620140490717,False,39.048006196766906,39.048006196766906,1.0,,,,,0.022663199983071536,,,,,,,,,unit_split_1,6.2788078803408744,8.138358126441645,"[6.2788078803408744, 7.312896294817272, 7.7967560119089665, 8.008718059712699, 8.098950335417172, 8.138358126441645]",b4858d58eb347a14f808dfd205980bfc3e4a3214aa280b692f1c93b6e47ffaa4
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,4.804220028470467,1.56416530369292,0.674418470756239,9,True,False,5.305546937004375e-06,True,7.682950215039,0.8536611350043333,False,50.01646382671087,50.01646382671087,1.0,,,,,0.03778870002133772,,,,,,,,,full_fixed_rank:original_start_1,0.08736215776961127,7.682950215039,"[0.08736215776961127, 4.1877633998938135, 5.045083277163245, 6.601416790841067, 6.857062648361016, 7.333534707801015, 7.524678513898189, 7.614926428157756, 7.659946682596607, 7.682950215039]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,4.8025221734652614,1.5641662665392224,0.6743031661193565,8,True,False,7.634358476239654e-06,True,7.6712192127535,0.8523576903059444,False,50.01397439806364,50.01397439806364,1.0,,,,,0.03500010000425391,,,,,,,,,full_fixed_rank:original_start_2,0.10354496233811589,7.6712192127535,"[0.10354496233811589, 5.740769005270559, 4.9611361909179115, 6.062300303214026, 7.019866758602278, 7.404368992841168, 7.563170532190688, 7.635954249825056, 7.6712192127535]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
fit_diagnostic,d696c84f04b94599,dgp1_N100_T100_r00007_truth1-1-1,1,100,100,7,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,4.804478590962385,1.564165614195868,0.6744359279406114,9,True,False,7.47497533967045e-06,True,7.7352016950427585,0.859466855004751,False,50.010349470289924,50.010349470289924,1.0,,,,,0.03933050000341609,,,,,,,,,full_fixed_rank:original_start_3,0.07965654254039976,7.7352016950427585,"[0.07965654254039976, 8.76994996138253, 9.698718405403282, 8.924119152131679, 8.708585789209106, 8.168737788958405, 7.9276526090954365, 7.815726506720161, 7.7617220127644755, 7.7352016950427585]",cbd4539ec9ef954cbacea5cf54eb9aaa3af0d6d733ab84d7bc0b33ab85e530d6
