N,T,draws,A_G1_fixed_time_true_mean,A_G1_fixed_time_true_sd,A_G1_fixed_time_true_min,A_G1_fixed_time_true_max,A_G2_fixed_time_true_mean,A_G2_fixed_time_true_sd,A_G2_fixed_time_true_min,A_G2_fixed_time_true_max,A_G2_minus_G1_fixed_time_true_mean,A_G2_minus_G1_fixed_time_true_sd,A_G2_minus_G1_fixed_time_true_min,A_G2_minus_G1_fixed_time_true_max,B_G1_fixed_time_true_mean,B_G1_fixed_time_true_sd,B_G1_fixed_time_true_min,B_G1_fixed_time_true_max,B_G2_fixed_time_true_mean,B_G2_fixed_time_true_sd,B_G2_fixed_time_true_min,B_G2_fixed_time_true_max,B_G2_minus_G1_fixed_time_true_mean,B_G2_minus_G1_fixed_time_true_sd,B_G2_minus_G1_fixed_time_true_min,B_G2_minus_G1_fixed_time_true_max,A_G1_time_average_true_mean,A_G1_time_average_true_sd,A_G1_time_average_true_min,A_G1_time_average_true_max,A_G2_time_average_true_mean,A_G2_time_average_true_sd,A_G2_time_average_true_min,A_G2_time_average_true_max,A_G2_minus_G1_time_average_true_mean,A_G2_minus_G1_time_average_true_sd,A_G2_minus_G1_time_average_true_min,A_G2_minus_G1_time_average_true_max,B_G1_time_average_true_mean,B_G1_time_average_true_sd,B_G1_time_average_true_min,B_G1_time_average_true_max,B_G2_time_average_true_mean,B_G2_time_average_true_sd,B_G2_time_average_true_min,B_G2_time_average_true_max,B_G2_minus_G1_time_average_true_mean,B_G2_minus_G1_time_average_true_sd,B_G2_minus_G1_time_average_true_min,B_G2_minus_G1_time_average_true_max,A_G2_minus_G1_fixed_time_raw_true_mean,A_G2_minus_G1_fixed_time_raw_true_sd,A_G2_minus_G1_fixed_time_raw_true_min,A_G2_minus_G1_fixed_time_raw_true_max,A_G2_minus_G1_time_average_raw_true_mean,A_G2_minus_G1_time_average_raw_true_sd,A_G2_minus_G1_time_average_raw_true_min,A_G2_minus_G1_time_average_raw_true_max,c_a_mean,c_a_sd,c_a_min,c_a_max
50,50,100,0.43833746678849045,0.08583241801650902,0.24689264449830717,0.5927489764136751,0.5365836496342751,0.10499569093545463,0.29108961675748085,0.7525394305032527,0.09824618284578447,0.022295455651068948,0.044196972259173684,0.16142870324297387,0.4807992009666709,0.17935841110288867,0.1135789290391941,0.8387618744499477,0.7188422901641061,0.2640102200451498,0.15593846620951865,1.189282793660733,0.2380430891974352,0.09528595621257296,0.04235953717032455,0.4587152735819571,0.43989004778453755,0.0221255075725175,0.37212285378170756,0.4932070576263065,0.538453306378615,0.02536260256314504,0.4527251395032236,0.6017870384676071,0.09856325859407747,0.011835439534316818,0.0759355997811339,0.13116098236217844,0.48316946867171745,0.0464254139517355,0.38757374296422215,0.6050659813877183,0.723716570233564,0.06818564206629255,0.5725126453980918,0.9018640157634303,0.2405471015618465,0.04694401659693829,0.1136534935451019,0.3693670316721066,0.10051097172068273,0.022487170532131222,0.04503108950992857,0.16674685659122834,0.10089216457616257,0.012063734121476552,0.07715168435315883,0.13620671306158455,0.9771156567881782,0.023104011191053743,0.8981622045720129,1.0
100,100,100,0.44629623608531654,0.09215387506254834,0.2677418102224161,0.6284066496693685,0.5460006131454659,0.11279156188976347,0.3304623445136211,0.7738814508001118,0.09970437706014926,0.022084098746684728,0.062720534291205,0.1548715906240471,0.4709418910384017,0.15842166988186535,0.17732191768484776,0.783065308512702,0.7111448807557664,0.24022461832521064,0.26676342502127537,1.18593713254448,0.24020298971736465,0.08769374930633225,0.07663764085244401,0.4482946718359273,0.4358921017968177,0.016182202741520196,0.3978020917539511,0.4784890065794919,0.5332015074495594,0.017481569377465228,0.4854852868464164,0.5727767760809277,0.0973094056527417,0.007208695786378182,0.07961121253991943,0.1135752100467966,0.47700868103517097,0.032587567901140715,0.38795058450221714,0.5379320459564944,0.7199836225264364,0.05081761502114731,0.607376567432803,0.8394185749318607,0.2429749414912656,0.036654502353447145,0.14252679519648614,0.32738456739122,0.10384307145407971,0.023233119325080254,0.06492261594930582,0.1651292677538656,0.10133757988843804,0.007636862543985388,0.0849671235128518,0.11963700800541915,0.9606580822391618,0.02484182397243068,0.8905825908456987,1.0
200,200,100,0.42596919014558554,0.08395935276986259,0.23774817627619677,0.6034906779343512,0.520962383012839,0.10275486127979468,0.2957987517469915,0.7372345304607828,0.09499319286725352,0.01962293308917543,0.05513601631579279,0.1348187106406893,0.46864013468689486,0.14609763269608805,0.08560765304438753,0.7338708134011276,0.7036489669344799,0.21933269477444167,0.13209897065587953,1.1934964290570336,0.23500883224758504,0.07689420556750386,0.046491317611492,0.459625615655906,0.4258301120802919,0.012119293563980503,0.3979175238280568,0.4590050574224277,0.5207622787537006,0.014560531256005807,0.48853753786283705,0.5554108731780149,0.09493216667340859,0.006224424137926202,0.07832384067286569,0.1090066738172174,0.48009688146835194,0.023168785102334034,0.43865750227447553,0.5454664969329962,0.7206605242119808,0.03381609831464203,0.6391179937119257,0.8386110538646826,0.24056364274362887,0.024268376500719786,0.1747454655814369,0.3043758493867454,0.10006404096755718,0.020542292413633784,0.05773984925654474,0.14332426078888816,0.10003461176623124,0.006422413698839418,0.08146553685778457,0.11459977811777294,0.9491487236509717,0.021538283424630128,0.9008918967769789,1.0
