dgp,N,T,replication,target,record_type,true_rank_vector,status,failure_detail,config_hash,git_commit,replication_failure_status,any_near_singularity
1,50,50,4,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,4,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,4,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,5,A_entry,,,missing_target_record,,,,,False
1,50,50,5,B_entry,,,missing_target_record,,,,,False
1,50,50,5,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,5,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,5,A_full_mean,,,missing_target_record,,,,,False
1,50,50,5,B_full_mean,,,missing_target_record,,,,,False
1,50,50,5,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,5,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,5,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,5,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,5,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,5,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,5,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,5,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,5,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,5,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,5,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,5,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,6,A_entry,,,missing_target_record,,,,,False
1,50,50,6,B_entry,,,missing_target_record,,,,,False
1,50,50,6,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,6,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,6,A_full_mean,,,missing_target_record,,,,,False
1,50,50,6,B_full_mean,,,missing_target_record,,,,,False
1,50,50,6,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,6,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,6,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,6,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,6,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,6,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,6,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,6,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,6,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,6,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,6,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,6,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,7,A_entry,,,missing_target_record,,,,,False
1,50,50,7,B_entry,,,missing_target_record,,,,,False
1,50,50,7,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,7,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,7,A_full_mean,,,missing_target_record,,,,,False
1,50,50,7,B_full_mean,,,missing_target_record,,,,,False
1,50,50,7,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,7,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,7,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,7,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,7,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,7,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,7,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,7,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,7,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,7,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,7,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,7,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,8,A_entry,,,missing_target_record,,,,,False
1,50,50,8,B_entry,,,missing_target_record,,,,,False
1,50,50,8,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,8,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,8,A_full_mean,,,missing_target_record,,,,,False
1,50,50,8,B_full_mean,,,missing_target_record,,,,,False
1,50,50,8,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,8,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,8,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,8,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,8,A_G2_time_average,,,missing_target_record,,,,,False
1,50,50,8,A_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,8,B_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,8,B_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,8,B_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,8,B_G1_time_average,,,missing_target_record,,,,,False
1,50,50,8,B_G2_time_average,,,missing_target_record,,,,,False
1,50,50,8,B_G2_minus_G1_time_average,,,missing_target_record,,,,,False
1,50,50,9,A_entry,,,missing_target_record,,,,,False
1,50,50,9,B_entry,,,missing_target_record,,,,,False
1,50,50,9,A_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,9,B_fixed_time_mean,,,missing_target_record,,,,,False
1,50,50,9,A_full_mean,,,missing_target_record,,,,,False
1,50,50,9,B_full_mean,,,missing_target_record,,,,,False
1,50,50,9,A_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,9,A_G2_fixed_time,,,missing_target_record,,,,,False
1,50,50,9,A_G2_minus_G1_fixed_time,,,missing_target_record,,,,,False
1,50,50,9,A_G1_time_average,,,missing_target_record,,,,,False
1,50,50,9,A_G2_time_average,,,missing_target_record,,,,,False
