diagnostic_replay,replay_method,semantic_replication_id,dgp,replication,fit_type,initialization_route,start_number,requested_rank,numerical_rank,objective_initial,objective_final,iterations,convergence_flag,stationarity_residual,stationarity_pass,coefficient_envelope,coefficient_envelope_ratio,coefficient_bound_hit,runtime_seconds,runtime_valid,identity_valid,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,13.0,,"[9, 8, 16]",2.879282296778026,2.841876333457735,500.0,False,,,5.274462061224125,0.5860513401360139,False,3.427535099996021,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,12.0,,"[8, 8, 11]",2.6844469581632127,2.6478429180063783,500.0,False,,,3.595237505652095,0.39947083396134386,False,3.4257419999921694,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,15.0,,"[10, 12, 22]",1.7610032403728075,1.7371192334126002,500.0,False,,,4.411660795419943,0.4901845328244381,False,3.4247803000034764,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,19.0,,"[12, 13, 32]",0.8408636232964828,0.8350723691094292,500.0,False,,,6.68577037419109,0.7428633749101211,False,3.413292800018098,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,13.0,,"[8, 9, 16]",2.3745440223620085,2.338859573248634,500.0,False,,,4.091723338852306,0.45463592653914514,False,3.4111447999894153,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,17.0,,"[11, 12, 28]",1.2372130952927645,1.225293676349615,500.0,False,,,5.811019787211932,0.6456688652457703,False,3.406459999998333,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,14.0,,"[8, 8, 14]",2.860554929590877,2.8242865053246353,500.0,False,,,6.027991364884606,0.6697768183205118,False,3.401795600017067,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,17.0,,"[12, 12, 28]",1.4346337409208312,1.4228998023167971,500.0,False,,,7.214868338864462,0.8016520376516069,False,3.396556199993938,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,19.0,,"[12, 13, 29]",1.1835769111142194,1.1751363061533284,500.0,False,,,8.594934619505114,0.9549927355005683,False,3.3946871000225656,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,15.0,,"[9, 9, 19]",2.445379900609649,2.4165950667096787,500.0,False,,,6.5025691353949115,0.7225076817105457,False,3.393226699990919,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,20.0,,"[13, 14, 31]",0.9698047575196266,0.9639338197211137,500.0,False,,,8.898058342585454,0.9886731491761616,False,3.392104600003222,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,16.0,,"[11, 11, 25]",1.7319501427923156,1.715424303777388,500.0,False,,,6.825869318336465,0.7584299242596072,False,3.3918937999987975,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,21.0,,"[13, 13, 35]",0.5589396791037913,0.5563365166438244,500.0,False,,,7.226536276563766,0.8029484751737518,False,3.3859958999964874,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,12.0,,"[8, 6, 13]",3.330343784276806,3.284198966782575,500.0,False,,,4.5781541153980445,0.5086837905997827,False,3.385034299979452,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,16.0,,"[10, 12, 25]",1.4835122335505202,1.4665026436437545,500.0,False,,,5.191150091966536,0.5767944546629484,False,3.38397170000826,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,14.0,,"[8, 11, 21]",2.0611661270473185,2.0313094873752053,500.0,False,,,4.319368088222383,0.4799297875802648,False,3.3768164000066463,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,14.0,,"[10, 9, 19]",2.4574792788504043,2.428005136065674,500.0,False,,,5.859314316999811,0.6510349241110901,False,3.375644799991278,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,17.0,,"[10, 11, 25]",1.7305430366950234,1.7138764482395632,500.0,False,,,7.708348763786919,0.8564831959763244,False,3.375301199994283,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,19.0,,"[13, 13, 31]",0.9658262038523828,0.9601417840969222,500.0,False,,,7.891514705023687,0.8768349672248541,False,3.372201499994844,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,18.0,,"[11, 13, 27]",1.436227019186198,1.424215445625494,500.0,False,,,8.208257191744877,0.912028576860542,False,3.3636531999800354,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,16.0,,"[10, 10, 21]",2.0672045883248527,2.045009136501827,500.0,False,,,7.0386048226719495,0.7820672025191056,False,3.360532399994554,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,15.0,,"[10, 10, 23]",2.073329479928418,2.0509040502833824,500.0,False,,,6.369041664547982,0.7076712960608869,False,3.3395963000075426,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,21.0,,"[14, 13, 32]",0.6384414854320306,0.6358684237668141,500.0,False,,,8.35837207076932,0.9287080078632578,False,3.3292558999964967,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,8.0,,"[1, 1, 1]",5.155298895417715,5.114653256739351,463.0,True,,,1.905555480796848,0.21172838675520533,False,3.3132437000167556,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,22.0,,"[13, 13, 36]",0.4531610443600891,0.45143553686167776,500.0,False,,,7.419240770359897,0.8243600855955441,False,3.2631473000219557,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,22.0,,"[15, 13, 34]",0.5166622013040338,0.5149517980287874,500.0,False,,,8.527608061726024,0.9475120068584472,False,3.218443699995987,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00000_truth1-1-1,3,0,nuclear_path,warm_nuclear_path,7.0,,"[1, 1, 1]",6.346119106536439,6.271387086504426,500.0,False,,,1.0762328075440868,0.11958142306045409,False,3.1734790000191424,True,False,,,,
True,selected_4e-6,dgp1_N50_T50_r00002_truth1-1-1,1,2,nuclear_path,warm_nuclear_path,5.0,,"[1, 1, 0]",4.783102398749264,4.7358305171116895,500.0,False,,,0.9001160170124746,0.10001289077916384,False,2.6978776999749243,True,False,,,,
True,selected_4e-6,dgp3_N50_T50_r00002_truth1-1-1,3,2,nuclear_path,warm_nuclear_path,5.0,,"[1, 1, 0]",6.6329509017443975,6.5665936519438555,500.0,False,,,0.8887213516711835,0.09874681685235372,False,2.5908958000072744,True,False,,,,
