dgp,N,T,target,mean_rank_runtime_seconds,mean_inference_runtime_seconds,mean_replication_runtime_seconds,successful_replications,requested_replications
1,20,20,A_fixed_time_mean,0.4033852000065963,0.016038199995819014,0.4212610999966273,1,1
1,20,20,A_full_mean,0.4033852000065963,0.4518580000003567,0.9138304999942193,1,1
2,20,20,A_fixed_time_mean,0.8950691999998526,0.09404699999868171,0.992228700000851,1,1
2,20,20,A_full_mean,0.8950691999998526,0.4464845999973477,1.5021064000029583,1,1
3,20,20,A_fixed_time_mean,0.6481610999981058,0.035843799996655434,0.686707100001513,1,1
3,20,20,A_full_mean,0.6481610999981058,0.5457982999942033,1.5229060999990907,1,1
4,20,20,A_fixed_time_mean,0.5480229000022518,0.053853900004469324,0.6035262000004877,1,1
4,20,20,A_full_mean,0.5480229000022518,0.5239250000013271,1.175441999999748,1,1
