diagnostic_label,c_kappa,N,eligible_saved_replications,Exact,Under_only,Over_only,Mixed,modal_selected_rank,modal_count,selected_rank_distribution
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.664514896337006e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.664514896337006e-07,100,12,3,0,9,0,"(1,1,1)",3,"{""(1,1,1)"": 3, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.785364354503621e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.785364354503621e-07,100,12,3,0,9,0,"(1,1,1)",3,"{""(1,1,1)"": 3, ""(1,1,3)"": 2, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 2, ""(2,3,3)"": 1, ""(3,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.907899376341589e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.907899376341589e-07,100,12,3,0,9,0,"(1,1,3)",4,"{""(1,1,1)"": 3, ""(1,1,3)"": 4, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 1, ""(2,3,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.980839394146848e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,8.980839394146848e-07,100,12,3,0,9,0,"(1,1,3)",4,"{""(1,1,1)"": 3, ""(1,1,3)"": 4, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 1, ""(2,3,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.054376662321994e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.054376662321994e-07,100,12,3,0,9,0,"(1,1,3)",4,"{""(1,1,1)"": 3, ""(1,1,3)"": 4, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 1, ""(2,3,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.059223066758724e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.059223066758724e-07,100,12,3,0,9,0,"(1,1,3)",4,"{""(1,1,1)"": 3, ""(1,1,3)"": 4, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 1, ""(2,3,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.064072065259832e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.064072065259832e-07,100,12,3,0,9,0,"(1,1,3)",4,"{""(1,1,1)"": 3, ""(1,1,3)"": 4, ""(1,2,3)"": 1, ""(1,3,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 1, ""(2,3,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.263924901502703e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.263924901502703e-07,100,12,3,0,9,0,"(1,1,3)",5,"{""(1,1,1)"": 3, ""(1,1,3)"": 5, ""(1,2,3)"": 1, ""(2,1,3)"": 1, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.468184273336505e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.468184273336505e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.545112994098013e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.545112994098013e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.622666758469485e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.622666758469485e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.650569564901301e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.650569564901301e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.678553280983876e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.678553280983876e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.69808391112296e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.69808391112296e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.717653952680526e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.717653952680526e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.726115668200647e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.726115668200647e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.734584751819068e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.734584751819068e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.740611419347956e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.740611419347956e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.746641817978112e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.746641817978112e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.750701011118594e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.750701011118594e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.754761894795087e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.754761894795087e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.782959190970053e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.782959190970053e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.811237994773821e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.811237994773821e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.836035417814396e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.836035417814396e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.860895515126024e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.860895515126024e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.873343457481412e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.873343457481412e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.885807113548466e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.885807113548466e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,3)"": 6, ""(1,2,3)"": 2, ""(2,1,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.908521340606125e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.908521340606125e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 6, ""(1,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.931287757242733e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.931287757242733e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 6, ""(1,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.936687585412573e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.936687585412573e-07,100,12,3,0,9,0,"(1,1,3)",6,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 6, ""(1,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.942090349570675e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.942090349570675e-07,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 7, ""(1,2,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.979536045225578e-07,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,9.979536045225578e-07,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 7, ""(1,2,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0017122775620034e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0017122775620034e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 7, ""(1,2,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0034679120770572e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0034679120770572e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 7, ""(1,2,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0052266235760108e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0052266235760108e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 7, ""(1,2,3)"": 1}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0105123027528836e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0105123027528836e-06,100,12,3,0,9,0,"(1,1,3)",8,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 8}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0158257750698358e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0158257750698358e-06,100,12,3,0,9,0,"(1,1,3)",8,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 8}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.01936031003274e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.01936031003274e-06,100,12,3,0,9,0,"(1,1,3)",8,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 8}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0229071433028055e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0229071433028055e-06,100,12,3,0,9,0,"(1,1,3)",8,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 8}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0240983237373068e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0240983237373068e-06,100,12,3,0,9,0,"(1,1,3)",8,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 8}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0252908913073235e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0252908913073235e-06,100,12,3,0,9,0,"(1,1,3)",8,"{""(1,1,1)"": 3, ""(1,1,2)"": 1, ""(1,1,3)"": 8}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0269020389864258e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0269020389864258e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0285157184317478e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0285157184317478e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0290007648809022e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0290007648809022e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0294860400772249e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0294860400772249e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0309928638482387e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0309928638482387e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.032501893106057e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.032501893106057e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0447613777749546e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0447613777749546e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0571664263070765e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0571664263070765e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0595323998724758e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0595323998724758e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0619036685652767e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0619036685652767e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0628528568994235e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0628528568994235e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0638028936706935e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0638028936706935e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0642417153109258e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0642417153109258e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0646807179663003e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0646807179663003e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0661023331150874e-06,50,12,0,0,12,0,"(1,3,3)",4,"{""(1,2,3)"": 3, ""(1,3,3)"": 4, ""(2,1,3)"": 3, ""(2,2,3)"": 2}"
OFFLINE EXISTING-CANDIDATE DIAGNOSTIC,1.0661023331150874e-06,100,12,3,0,9,0,"(1,1,3)",7,"{""(1,1,1)"": 3, ""(1,1,2)"": 2, ""(1,1,3)"": 7}"
