N,T,NT,eta,d_s,log_NT,b_NT,kappa_base,penalty_increment_rank_0_to_1,penalty_increment_rank_1_to_2,penalty_increment_rank_2_to_3,dimension_truth,dimension_zero,total_penalty_truth_minus_zero_c_1
50,50,2500,4.0,1,7.824046010856292,15.017341715546726,845107.0199653977,33466.23799062974,32790.15237465743,32114.066758685112,297,0,100398.71397188924
100,100,10000,4.0,1,9.210340371976184,19.843076804386655,2833483.8838854465,56386.32928932038,55819.6325125433,55252.93573576621,597,0,169158.98786796114
200,200,40000,4.0,1,10.596634733096073,25.62553632834239,8279760.70066367,82590.61298912011,82176.62495408692,81762.63691905375,1197,0,247771.8389673603
400,400,160000,4.0,1,11.982929094215963,32.52667383174745,21813797.01020475,108932.64881970997,108659.97635708241,108387.30389445486,2397,0,326797.9464591299
