fit_type,fit_records,convergence_pass,stationarity_pass,boundary_active,constrained_fallback,total_fit_runtime_seconds,median_fit_runtime_seconds,p95_fit_runtime_seconds,max_fit_runtime_seconds
full_fixed_rank,3300,3300,2599,63,65,1891.8426964004175,0.18225129999336787,0.391877799994836,71.04490850000002
time_split_0,889,885,105,77,77,1256.0929733002413,0.1733784999960335,11.863116299998326,74.59146670000337
time_split_1,889,888,123,81,81,1396.0308646999765,0.18890239999745972,13.532928139998683,45.81018640000548
unit_split_0,889,888,122,59,59,895.1650665000197,0.19112580000364687,8.089718520009773,28.410004899997148
unit_split_1,889,887,131,87,88,1337.1657169997197,0.18678530000033788,11.386739200004353,41.44324219999544
