target,replication,semantic_replication_id,truth,estimate,error,standard_error,standardized_error
B_G2_minus_G1_fixed_time,140,dgp1_N50_T50_r00140_truth1-1-1,0.1608999879793278,-0.0028633093179199986,-0.1637632972972478,0.009394809726403483,-17.431252155858147
B_G2_minus_G1_fixed_time,419,dgp1_N50_T50_r00419_truth1-1-1,0.057087614323656985,-0.00048765458150334517,-0.05757526890516033,0.004328203959020035,-13.302346527633636
B_G2_minus_G1_fixed_time,786,dgp1_N50_T50_r00786_truth1-1-1,0.1118156367855532,-0.0014070867775495743,-0.11322272356310277,0.00731977598009054,-15.468058567784515
B_entry,145,dgp1_N50_T50_r00145_truth1-1-1,0.6020330625652909,-0.015821224719289154,-0.61785428728458,0.058588844427649805,-10.545596065605219
B_entry,638,dgp1_N50_T50_r00638_truth1-1-1,1.450000092269035,-0.027121136509061606,-1.4771212287780966,0.17862585697214092,-8.269358388626085
B_entry,901,dgp1_N50_T50_r00901_truth1-1-1,0.9694556761571788,0.10746936662081391,-0.8619863095363649,0.10631756575599945,-8.107656560860672
