target,R_attempted,R_point,R_inference,point_retention_rate,inference_retention_rate
A_G1_fixed_time,1000,889,868,0.889,0.868
A_G1_time_average,1000,889,0,0.889,0.0
A_G2_fixed_time,1000,889,868,0.889,0.868
A_G2_minus_G1_fixed_time,1000,889,868,0.889,0.868
A_G2_minus_G1_time_average,1000,889,0,0.889,0.0
A_G2_time_average,1000,889,0,0.889,0.0
A_entry,1000,889,868,0.889,0.868
A_fixed_time_mean,1000,889,868,0.889,0.868
A_full_mean,1000,889,0,0.889,0.0
B_G1_fixed_time,1000,889,868,0.889,0.868
B_G1_time_average,1000,889,0,0.889,0.0
B_G2_fixed_time,1000,889,868,0.889,0.868
B_G2_minus_G1_fixed_time,1000,889,868,0.889,0.868
B_G2_minus_G1_time_average,1000,889,0,0.889,0.0
B_G2_time_average,1000,889,0,0.889,0.0
B_entry,1000,889,868,0.889,0.868
B_fixed_time_mean,1000,889,868,0.889,0.868
B_full_mean,1000,889,0,0.889,0.0
