N,T,draws,A_G1_fixed_time_true_mean,A_G1_fixed_time_true_sd,A_G1_fixed_time_true_min,A_G1_fixed_time_true_max,A_G2_fixed_time_true_mean,A_G2_fixed_time_true_sd,A_G2_fixed_time_true_min,A_G2_fixed_time_true_max,A_G2_minus_G1_fixed_time_true_mean,A_G2_minus_G1_fixed_time_true_sd,A_G2_minus_G1_fixed_time_true_min,A_G2_minus_G1_fixed_time_true_max,A_G1_time_average_true_mean,A_G1_time_average_true_sd,A_G1_time_average_true_min,A_G1_time_average_true_max,A_G2_time_average_true_mean,A_G2_time_average_true_sd,A_G2_time_average_true_min,A_G2_time_average_true_max,A_G2_minus_G1_time_average_true_mean,A_G2_minus_G1_time_average_true_sd,A_G2_minus_G1_time_average_true_min,A_G2_minus_G1_time_average_true_max,c_a_mean,c_a_sd,c_a_min,c_a_max
50,50,100,0.43833746678849045,0.08583241801650902,0.24689264449830717,0.5927489764136751,0.5365836496342751,0.10499569093545463,0.29108961675748085,0.7525394305032527,0.09824618284578447,0.022295455651068948,0.044196972259173684,0.16142870324297387,0.43989004778453755,0.0221255075725175,0.37212285378170756,0.4932070576263065,0.538453306378615,0.02536260256314504,0.4527251395032236,0.6017870384676071,0.09856325859407747,0.011835439534316818,0.0759355997811339,0.13116098236217844,0.9771156567881782,0.023104011191053743,0.8981622045720129,1.0
100,100,100,0.44629623608531654,0.09215387506254834,0.2677418102224161,0.6284066496693685,0.5460006131454659,0.11279156188976347,0.3304623445136211,0.7738814508001118,0.09970437706014926,0.022084098746684728,0.062720534291205,0.1548715906240471,0.4358921017968177,0.016182202741520196,0.3978020917539511,0.4784890065794919,0.5332015074495594,0.017481569377465228,0.4854852868464164,0.5727767760809277,0.0973094056527417,0.007208695786378182,0.07961121253991943,0.1135752100467966,0.9606580822391618,0.02484182397243068,0.8905825908456987,1.0
200,200,100,0.42596919014558554,0.08395935276986259,0.23774817627619677,0.6034906779343512,0.520962383012839,0.10275486127979468,0.2957987517469915,0.7372345304607828,0.09499319286725352,0.01962293308917543,0.05513601631579279,0.1348187106406893,0.4258301120802919,0.012119293563980503,0.3979175238280568,0.4590050574224277,0.5207622787537006,0.014560531256005807,0.48853753786283705,0.5554108731780149,0.09493216667340859,0.006224424137926202,0.07832384067286569,0.1090066738172174,0.9491487236509717,0.021538283424630128,0.9008918967769789,1.0
400,400,100,0.41627301404425543,0.08395804232000775,0.23778513387893604,0.595711021530374,0.5093510220915025,0.10247502070405336,0.28602591916140485,0.7344312414289743,0.0930780080472471,0.018925577622219445,0.04824078528246881,0.13872021989860028,0.42011582059951286,0.009539199633839621,0.40148136927342304,0.43981450379492343,0.5140531603368582,0.010307094859926242,0.49600478061999403,0.5366786166024545,0.09393733973734548,0.0036948042059376704,0.08254502716497086,0.1031911066199771,0.9339514158509273,0.01786616464013534,0.8978159382474233,0.9892449360883284
