design,dgp,n,t,true_rank_vector,population_var_u_tilde,population_var_h_raw,c_h,pi_h,realized_calibration_h_share
baseline,1,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30592372303427573
baseline,1,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3022198369289034
baseline,1,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2942445351331884
baseline,1,400,400,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29751831223498837
rank_stress,1,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30054572086736187
rank_stress,1,50,50,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29332654427530935
rank_stress,1,50,50,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.305339266509757
rank_stress,1,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29720548800218344
rank_stress,1,100,100,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29754092157113093
rank_stress,1,100,100,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.3032178405273253
rank_stress,1,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3063371585696898
rank_stress,1,200,200,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3008196244251713
rank_stress,1,200,200,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.29648379598033525
baseline,2,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.294004830617858
baseline,2,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30255360521627933
baseline,2,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2974883400113511
baseline,2,400,400,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2991469366282057
rank_stress,2,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2964017052592398
rank_stress,2,50,50,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29898385900295965
rank_stress,2,50,50,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.300554756884874
rank_stress,2,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30302230296349447
rank_stress,2,100,100,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2992622459116345
rank_stress,2,100,100,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.3002831641747762
rank_stress,2,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2984111384828501
rank_stress,2,200,200,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30546828910629453
rank_stress,2,200,200,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.2989798567917191
baseline,3,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30620237380748194
baseline,3,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.296478341514174
baseline,3,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.30486577571784695
baseline,3,400,400,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29901541325924746
rank_stress,3,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3013006231819567
rank_stress,3,50,50,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3038984428727749
rank_stress,3,50,50,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.30058727990423617
rank_stress,3,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2983955010009898
rank_stress,3,100,100,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2987202568609733
rank_stress,3,100,100,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.30223970499693575
rank_stress,3,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29644568737834487
rank_stress,3,200,200,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2917529980629807
rank_stress,3,200,200,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.3003968348026257
baseline,4,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2944790681661484
baseline,4,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2971366880623206
baseline,4,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.2977712069302425
baseline,4,400,400,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.299165628431136
rank_stress,4,50,50,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.31088182709460116
rank_stress,4,50,50,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29273063380723147
rank_stress,4,50,50,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.3079694918234418
rank_stress,4,100,100,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3006542793513484
rank_stress,4,100,100,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29661770223580813
rank_stress,4,100,100,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.30053751454452843
rank_stress,4,200,200,"1,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.3009350460368941
rank_stress,4,200,200,"2,1,1",1.0,1.0,0.6546536707079772,0.30000000000000004,0.29633132923360966
rank_stress,4,200,200,"1,0,2",1.0,0.803847577293368,0.7301712917987002,0.30000000000000004,0.3004190894739402
