record_type,run_id,semantic_replication_id,dgp,N,T,replication,method,fit_type,target,requested_rank,numerical_rank,initialization_route,start_number,objective_initial,objective_final,relative_objective_change,iterations,convergence_flag,iteration_cap_hit,stationarity_residual,stationarity_pass,coefficient_envelope,max_abs_coefficient,coefficient_envelope_ratio,coefficient_bound_hit,unconstrained_max_abs,unconstrained_inside_box,unconstrained_outside_box,constrained_fallback_used,boundary_active,max_constraint_violation,constrained_KKT_residual,constrained_iterations,constrained_runtime,constrained_runtime_seconds,constrained_solver_status,constrained_objective,sigma_1,sigma_r,sigma_r_over_sigma_1,best_start_objective,second_start_objective,objective_stability_gap,objective_stability_pass,runtime_seconds,exception_type,exception_message,nuclear_path_index,lambda,thresholded_rank,candidate_source,IC,IC_valid,diagnostic_context,initial_coefficient_envelope,final_coefficient_envelope,coefficient_envelope_history,dgp_realization_hash
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,4.497521551853394,1.6704859503315725,0.6285763323039156,8,True,False,7.614357283178981e-06,True,4.473955147175306,4.473955147175306,0.4473955147175306,False,4.473955147175306,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,49.26592575896885,49.26592575896885,1.0,,,,,0.033390199998393655,,,,,,,,,full_fixed_rank:original_start_1,0.10296365259356222,4.473955147175306,"[0.10296365259356222, 4.027162482620702, 5.752843998856376, 4.949616041817179, 4.446228981541802, 4.370232437341147, 4.438715678303832, 4.464242896246452, 4.473955147175306]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,4.498921124799872,1.6704861832490532,0.628691827015891,8,True,False,7.0628804322805525e-06,True,4.4805433341757235,4.4805433341757235,0.44805433341757234,False,4.4805433341757235,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,49.27117452700297,49.27117452700297,1.0,,,,,0.034185800002887845,,,,,,,,,full_fixed_rank:original_start_2,0.07249261752844426,4.4805433341757235,"[0.07249261752844426, 3.585085947042122, 5.074882415838348, 4.723154545573124, 4.318424728132089, 4.422537050322628, 4.468203208321622, 4.478516169157017, 4.4805433341757235]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,4.499690268333498,1.670485701930727,0.628755402635878,8,True,False,5.829220367125501e-06,True,4.477765440916665,4.477765440916665,0.44777654409166645,False,4.477765440916665,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,49.268887723602205,49.268887723602205,1.0,,,,,0.03299799998058006,,,,,,,,,full_fixed_rank:original_start_3,0.0802524949539341,4.477765440916665,"[0.0802524949539341, 11.225527059154182, 6.669015803348813, 4.701930951132089, 4.419290802859048, 4.449714403323026, 4.466821196339868, 4.4744763675990695, 4.477765440916665]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,time_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,4,1.652438034159414,1.593258836839418,0.03581326264382441,5,True,False,1.0310693434923175e-05,True,4.270894060077624,4.270894060077624,0.4270894060077624,False,4.270894060077624,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,33.70872303198692,33.70872303198692,1.0,,,,,0.018464900000253692,,,,,,,,,time_split_0,4.190127169656383,4.270894060077624,"[4.190127169656383, 4.297319145762413, 4.273385986175891, 4.268736430472762, 4.269566852168234, 4.270894060077624]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,time_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,5,1.6885333697020382,1.6378826314222108,0.02999688320566936,5,True,False,7.087615959785037e-06,True,5.259269038778525,5.259269038778525,0.5259269038778525,False,5.259269038778525,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,37.09649864081865,37.09649864081865,1.0,,,,,0.017775699991034344,,,,,,,,,time_split_1,4.477765440916666,5.259269038778525,"[4.477765440916666, 5.045631948288932, 5.165113122556095, 5.219837570199285, 5.246257131983587, 5.259269038778525]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,unit_split_0,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,6,1.6697125670382273,1.6104653027417244,0.0354835110342357,5,True,False,1.0687243710091554e-05,True,5.286785496844018,5.286785496844018,0.5286785496844019,False,5.286785496844018,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,34.95926751826039,34.95926751826039,1.0,,,,,0.019299000006867573,,,,,,,,,unit_split_0,4.324573977886402,5.286785496844018,"[4.324573977886402, 5.156813096284397, 5.274204876511792, 5.287322832833833, 5.287502726532947, 5.286785496844018]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080801_truth1-1-1,1,100,100,2026080801,fixed_rank,unit_split_1,,"[1, 1, 1]","[1, 1, 1]",full_fit_restriction,7,1.6712588368232257,1.6195898419454544,0.030916213419092613,5,True,False,1.0682700239227167e-05,True,4.529143142290015,4.529143142290015,0.45291431422900147,False,4.529143142290015,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,35.70179609993673,35.70179609993673,1.0,,,,,0.01850649999687448,,,,,,,,,unit_split_1,4.477765440916664,4.529143142290015,"[4.477765440916664, 4.575284216329037, 4.56923169843908, 4.550846009282567, 4.53712831275282, 4.529143142290015]",654aaee579b88ff6f006ca5f9abbd809bf3d5effc9441a150090637661ac7537
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080802_truth1-1-1,1,100,100,2026080802,fixed_rank,full_fixed_rank,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_1,1,6.211258899858838,1.739259917800581,0.7199827046590975,7,True,False,8.554882370475597e-06,True,7.123009116339272,7.123009116339272,0.7123009116339272,False,7.123009116339271,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,52.995472476828034,52.995472476828034,1.0,,,,,0.028919800010044128,,,,,,,,,full_fixed_rank:original_start_1,0.10545506758606289,7.123009116339271,"[0.10545506758606289, 8.363154890203669, 7.553773807045627, 6.837388798181023, 7.047562675678196, 7.092488356800508, 7.117138664270453, 7.123009116339271]",3dc6f020c0fd6f6e54968c752598a63b2ee91a9f1351e1ffe7c48199a4d2bd85
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080802_truth1-1-1,1,100,100,2026080802,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_2,2,6.211330865650636,1.739260557826526,0.7199858459569697,9,True,False,1.1169251613824983e-05,True,7.116229875706564,7.116229875706564,0.7116229875706563,False,7.116229875706564,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,53.02828198910714,53.02828198910714,1.0,,,,,0.03749630000675097,,,,,,,,,full_fixed_rank:original_start_2,0.08106411487931245,7.116229875706564,"[0.08106411487931245, 7.0485809709401925, 6.240948819613472, 6.715938530652516, 6.467815587321357, 6.9480311050529275, 7.028447848139971, 7.06874070952594, 7.103144375408015, 7.116229875706564]",3dc6f020c0fd6f6e54968c752598a63b2ee91a9f1351e1ffe7c48199a4d2bd85
fit_diagnostic,3a7461a6c19714a6,dgp1_N100_T100_r2026080802_truth1-1-1,1,100,100,2026080802,fixed_rank,coefficient_fit,,"[1, 1, 1]","[1, 1, 1]",full_fixed_rank:original_start_3,3,6.2111366738584834,1.73926138274523,0.7199769584743712,8,True,False,8.761567499299375e-06,True,7.1222875148330225,7.1222875148330225,0.7122287514833022,False,7.1222875148330225,True,False,False,False,0.0,,0,0.0,0.0,not_needed_interior_fast_path,,53.02167216394146,53.02167216394146,1.0,,,,,0.03279420000035316,,,,,,,,,full_fixed_rank:original_start_3,0.10253644384244066,7.1222875148330225,"[0.10253644384244066, 5.134118118420481, 8.478944366354057, 6.432758591227814, 6.965007597859244, 7.0813166068934565, 7.110203255080683, 7.1190456915778535, 7.1222875148330225]",3dc6f020c0fd6f6e54968c752598a63b2ee91a9f1351e1ffe7c48199a4d2bd85
