dgp,N,T,method,target,attempted_replications,completed_dgp_replications,point_estimate_valid,inference_valid,retained_for_bias_rmse,retained_for_coverage,retained_for_rejection,R_attempted,R_point,R_inference,success_count,point_retained_share,inference_retained_share,mean_truth,mean_estimate,bias,rmse,mc_sd,mean_se,coverage,rejection_probability,mean_interval_length,runtime_median,runtime_mean,runtime_p10,runtime_p90,runtime_p95,replication_ids_json,failure_success,failure_calibration_failure,failure_full_fit_failure,failure_rank_pilot_failure,failure_rank_selection_failure,failure_rank_at_cap,failure_candidate_numerically_unresolved,failure_coefficient_bound_hit,failure_target_unsupported_selected_rank,failure_split_fit_failure,failure_split_rank_loss,failure_split_target_support_loss,failure_tangent_gram_eigensolver_failure,failure_tangent_gram_nearly_singular,failure_riesz_solver_failure,failure_riesz_target_instability,failure_nonfinite_estimate,failure_nonfinite_standard_error,failure_invalid_variance,failure_software_exception,target_support_failure_rate,total_inference_failure_rate,numerical_failure_rate
1,50,50,fixed_rank,B_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.7246890696633148,0.8029257723724857,0.07823670270917094,0.08651417303180607,0.07485690641453782,0.07782178628761761,0.6666666666666666,0.6666666666666666,0.3050557966726071,1.31985590000113,1.2975334999985837,1.2201097400014986,1.3660282999946503,1.3717998499938404,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G2_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.804950995569143,0.6993865641161578,-0.10556443145298505,0.40212458273673635,0.6975543497833804,0.21652799680726387,0.6666666666666666,0.6666666666666666,0.8487741507736818,1.1643028000107734,1.149936066668791,1.082607680009096,1.2115177599916933,1.2174196299893083,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G2_minus_G1_fixed_time,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,-0.0963061902596299,-0.047727405260903966,0.04857878499872593,0.10321139291455156,0.11341665444873372,0.09640515999331405,1.0,0.0,0.3779012830214344,1.2147109000070486,1.1992844000002758,1.131864420004422,1.2605337799934204,1.266261639991717,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G2_minus_G1_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,-0.08313660809243262,-0.11337668279250017,-0.03024007470006756,0.09657730863917421,0.22528122016559496,0.10452646784950309,0.6666666666666666,0.3333333333333333,0.4097362248324199,1.5493686999980127,1.5074580999983784,1.4045622999983607,1.5935896599985426,1.5991172799986089,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_G2_time_average,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.6415524615708822,0.6895490895799851,0.047996628009102905,0.12270614037642463,0.22615741614487844,0.07549666979761953,0.3333333333333333,0.6666666666666666,0.29594150751209425,1.4220120000099996,1.398636933338518,1.3087929600063943,1.4791308800020488,1.4862707400010549,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_entry,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,1.0543089613970578,0.8986243093871056,-0.1556846520099523,0.5363347560281275,0.6064675348210418,0.3893831613420884,0.6666666666666666,0.6666666666666666,1.5263539448336845,0.35150720000092406,0.36407666666491423,0.3497808799991617,0.3834002399962628,0.38738686999568017,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_fixed_time_mean,3,3,3,3,3,3,3,3,3,3,3,1.0,1.0,0.8531040906989578,0.7232502667466099,-0.12985382395234787,0.42980838693178386,0.6453780519714182,0.23945453356237126,0.6666666666666666,0.6666666666666666,0.9386445234341706,0.4521372000017436,0.4637702333323735,0.44441816000326073,0.48777551999373825,0.4922303099927376,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,fixed_rank,B_full_mean,3,3,3,3,3,3,3,3,3,3,2,1.0,1.0,0.6831207656170983,0.7462374309762357,0.0631166653591374,0.09454604896415003,0.1252495892920066,0.05609038096837057,0.3333333333333333,0.6666666666666666,0.21987025315427441,0.6448729000112507,0.6524042666715104,0.6218857800064143,0.6859353000007105,0.6910680999993929,"[""50d69a44a71d9f94:0"", ""50d69a44a71d9f94:1"", ""50d69a44a71d9f94:2""]",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
1,50,50,selected_rank,A_G1_fixed_time,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.6404826568033639,0.5829252993390879,-0.05755735746427609,0.10421739440423405,0.065145550713727,0.09950244189725183,1.0,1.0,0.3900424049848058,92.1458833499928,92.1458833499928,91.97290410998976,92.31886258999585,92.34048499499622,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_G1_time_average,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.510550901623638,0.4884904761078973,-0.022060425515740806,0.023153137128199792,0.022140183682453966,0.02958028936498658,1.0,1.0,0.11595260361529376,92.51657539999724,92.51657539999724,92.32038995999173,92.71276084000274,92.73728402000343,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_G2_fixed_time,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.6239424531401978,0.5616737241324428,-0.06226872900775504,0.11308997583946609,0.04967959103397589,0.09672790346808013,1.0,1.0,0.37916641419500813,92.2222103499953,92.2222103499953,92.04116374999576,92.40325694999483,92.42588777499478,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_G2_minus_G1_fixed_time,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,-0.016540203663166057,-0.021251575206645185,-0.004711371543479128,0.00887524087721568,0.01546595967975116,0.02991850758391432,1.0,0.0,0.11727839467132106,92.30653470000107,92.30653470000107,92.12437422000076,92.48869518000137,92.51146524000141,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_G2_minus_G1_time_average,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,-0.014443872606840779,-0.014809379765542464,-0.0003655071587016841,0.0022864687556342442,0.019232412195704516,0.0370216750826857,1.0,0.0,0.14512229961881581,92.93514249999134,92.93514249999134,92.71723921998928,93.1530457799934,93.18028368999367,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_G2_time_average,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.49610702901679726,0.4736810963423548,-0.022425932674442484,0.02427244408688122,0.0029077714867493183,0.029206471383654092,1.0,1.0,0.11448726405492349,92.73030024999753,92.73030024999753,92.52714516998967,92.93345533000539,92.95884971500637,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_entry,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.5892101375334458,0.5495048980768292,-0.03970523945661644,0.13303301181845612,0.21258922112784723,0.1417898864103454,1.0,1.0,0.5558061414726045,91.38639309999417,91.38639309999417,91.26617613998823,91.5066100600001,91.52163718000084,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_fixed_time_mean,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.6322125549717807,0.5722995117357652,-0.05991304323601554,0.108653630821672,0.057412570873851446,0.09695493110754884,1.0,1.0,0.3800563461887157,91.54478430000017,91.54478430000017,91.41187197999679,91.67769662000356,91.69431066000398,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,A_full_mean,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.5033289653202178,0.4810857862251261,-0.022243179095091686,0.02369182697833531,0.012523977584601465,0.0228426848551576,1.0,1.0,0.08954167925261486,91.84122834999289,91.84122834999289,91.69258998998848,91.9898667099973,92.00844650499785,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_G1_fixed_time,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,1.0037740253221865,0.8186264329828234,-0.18514759233936318,0.5617372476599621,0.8215862313376735,0.261202854068772,0.5,0.5,1.023896373267729,93.01400445000036,93.01400445000036,92.78964912999655,93.23835977000417,93.26640418500465,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_G1_time_average,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.741758720727629,0.8456906466664567,0.10393192593882755,0.10465825010564275,0.018531550836115924,0.07833344926222416,1.0,1.0,0.30706147867751,93.4080707999965,93.4080707999965,93.14035791998904,93.67578368000395,93.70924779000488,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_G2_fixed_time,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,0.8927304603181399,0.8104967254221603,-0.08223373489597952,0.47920597866138054,0.9455510590574009,0.21358144552810154,0.5,0.5,0.8372238820021648,93.09206694999739,93.09206694999739,92.86253994999133,93.32159395000345,93.3502848250042,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
1,50,50,selected_rank,B_G2_minus_G1_fixed_time,3,3,2,2,2,2,2,3,2,2,2,0.6666666666666666,0.6666666666666666,-0.11104356500404676,-0.008129707560662974,0.10291385744338379,0.1182556653320559,0.12396482771972775,0.10590113151925717,1.0,0.0,0.41512480739956725,93.1756228499944,93.1756228499944,92.93525944998983,93.41598624999897,93.44603167499955,"[""969a98aee233bf54:0"", ""969a98aee233bf54:1"", ""969a98aee233bf54:2""]",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.3333333333333333,0.3333333333333333
