semantic_replication_id,dgp,N,T,true_rank,replication,finite_start_count,box_feasible_start_count,constrained_fallback_start_count,boundary_active_start_count,any_boundary_active,selected_best_pilot_boundary_active,maximum_constraint_violation,maximum_coefficient_envelope_ratio,maximum_absolute_coefficient,B,literal_box_rejection
dgp2_N100_T200_r00001_truth2-1-1,2,100,200,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.7719115881689428,7.719115881689428,10.0,False
dgp2_N100_T200_r00002_truth1-0-2,2,100,200,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.6259625078298628,6.259625078298629,10.0,False
dgp2_N100_T200_r00002_truth1-1-1,2,100,200,"(1,1,1)",2,3,3,2,2,True,True,0.0,1.0,10.0,10.0,False
dgp2_N100_T200_r00002_truth2-1-1,2,100,200,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.5542273609886876,5.542273609886877,10.0,False
dgp2_N200_T100_r00000_truth1-0-2,2,200,100,"(1,0,2)",0,3,3,0,0,False,False,0.0,0.7711024956669572,7.711024956669572,10.0,False
dgp2_N200_T100_r00000_truth1-1-1,2,200,100,"(1,1,1)",0,3,3,2,0,False,False,0.0,0.8205403321542214,8.205403321542214,10.0,False
dgp2_N200_T100_r00000_truth2-1-1,2,200,100,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.44956343889880496,4.49563438898805,10.0,False
dgp2_N200_T100_r00001_truth1-0-2,2,200,100,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.5704498906777594,5.704498906777594,10.0,False
dgp2_N200_T100_r00001_truth1-1-1,2,200,100,"(1,1,1)",1,3,3,1,1,True,False,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp2_N200_T100_r00001_truth2-1-1,2,200,100,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.4088196858701195,4.088196858701195,10.0,False
dgp2_N200_T100_r00002_truth1-0-2,2,200,100,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.7658728726788806,7.658728726788806,10.0,False
dgp2_N200_T100_r00002_truth1-1-1,2,200,100,"(1,1,1)",2,3,3,1,1,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp2_N200_T100_r00002_truth2-1-1,2,200,100,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.7440398359195155,7.4403983591951555,10.0,False
dgp2_N200_T200_r00000_truth1-0-2,2,200,200,"(1,0,2)",0,3,3,0,0,False,False,0.0,0.406722961742456,4.06722961742456,10.0,False
dgp2_N200_T200_r00000_truth1-1-1,2,200,200,"(1,1,1)",0,3,3,1,0,False,False,0.0,0.8527351873944842,8.527351873944841,10.0,False
dgp2_N200_T200_r00000_truth2-1-1,2,200,200,"(2,1,1)",0,3,3,0,0,False,False,0.0,0.48209190624915876,4.820919062491588,10.0,False
dgp2_N200_T200_r00001_truth1-0-2,2,200,200,"(1,0,2)",1,3,3,0,0,False,False,0.0,0.4421280389734007,4.421280389734007,10.0,False
dgp2_N200_T200_r00001_truth1-1-1,2,200,200,"(1,1,1)",1,3,3,0,0,False,False,0.0,0.8404009099466945,8.404009099466945,10.0,False
dgp2_N200_T200_r00001_truth2-1-1,2,200,200,"(2,1,1)",1,3,3,0,0,False,False,0.0,0.44337756741798967,4.433775674179897,10.0,False
dgp2_N200_T200_r00002_truth1-0-2,2,200,200,"(1,0,2)",2,3,3,0,0,False,False,0.0,0.703730549652757,7.037305496527571,10.0,False
dgp2_N200_T200_r00002_truth1-1-1,2,200,200,"(1,1,1)",2,3,3,0,0,False,False,0.0,0.8549548615974369,8.54954861597437,10.0,False
dgp2_N200_T200_r00002_truth2-1-1,2,200,200,"(2,1,1)",2,3,3,0,0,False,False,0.0,0.4445710644928963,4.445710644928963,10.0,False
dgp2_N50_T50_r00000_truth1-0-2,2,50,50,"(1,0,2)",0,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
dgp2_N50_T50_r00000_truth1-1-1,2,50,50,"(1,1,1)",0,3,3,3,3,True,True,1.7763568394002505e-15,1.0000000000000002,10.000000000000002,10.0,False
