group_dimension,group_value,start_count,stationarity_pass_count,stationarity_failure_count,threshold_minimum,threshold_maximum,residual_minimum,residual_p05,residual_median,residual_p95,residual_maximum,residual_over_threshold_minimum,residual_over_threshold_p05,residual_over_threshold_median,residual_over_threshold_p95,residual_over_threshold_maximum,ratio_pass_le_1_count,ratio_narrow_above_1_to_2_count,ratio_modest_above_2_to_10_count,ratio_large_above_10_to_100_count,ratio_orders_above_100_count
overall,ALL,540,53,487,1e-06,0.0001,2.0350092607017608e-07,1.5696613904770757e-06,1.3262236407811905e-05,0.003569817260080751,0.02679843000008641,0.20350092607017609,0.7840528701358754,6.6770040906147266,42.01876845764308,267.9843000008641,53,42,248,192,5
solver_path,constrained_box_KKT,201,39,162,0.0001,0.0001,2.8243473582076987e-05,4.753932833485828e-05,0.0007545445095691722,0.007493280977314237,0.02679843000008641,0.28243473582076983,0.4753932833485828,7.545445095691722,74.93280977314237,267.9843000008641,39,20,55,83,4
solver_path,interior_tangent_gradient,339,14,325,1e-06,1e-06,2.0350092607017608e-07,1.2292503704544696e-06,6.547752221539511e-06,2.7065224557334522e-05,0.00013169273436958805,0.20350092607017609,1.2292503704544697,6.547752221539511,27.06522455733452,131.69273436958807,14,22,193,109,1
dgp,1,135,12,123,1e-06,0.0001,6.28588065509775e-07,2.525661744329112e-06,1.5080248510991897e-05,0.004334749456143487,0.02679843000008641,0.45535029407091737,0.8955270019113841,7.030300825643012,64.09462099858473,267.9843000008641,12,7,63,50,3
dgp,2,135,13,122,1e-06,0.0001,2.0350092607017608e-07,1.315023046591768e-06,1.2181155270964767e-05,0.003577037541415796,0.007734689024653532,0.20350092607017609,0.8733135027643266,6.72034781383754,38.5757934720644,77.34689024653532,13,15,56,51,0
dgp,3,135,16,119,1e-06,0.0001,7.846793586843617e-07,2.3621296879440013e-06,1.2251161193125584e-05,0.002826142560470336,0.008587879880526946,0.28243473582076983,0.583690975437092,6.817981187328596,35.31234669765826,85.87879880526945,16,7,64,48,0
dgp,4,135,12,123,1e-06,0.0001,4.3159768306908706e-07,1.2686099518700064e-06,1.367320781106765e-05,0.0029928638095124884,0.018061168102276853,0.4039147051761298,0.7960315314933495,6.457015451151494,38.376196669416444,180.61168102276852,12,13,65,43,2
true_rank,"(1,0,2)",180,12,168,1e-06,0.0001,6.28588065509775e-07,2.4868475188184327e-06,1.2629205556969436e-05,0.002769125874179476,0.008474066651247164,0.6285880655097751,0.966830082206437,7.380139904885121,36.05565253455989,84.74066651247163,12,8,86,74,0
true_rank,"(1,1,1)",180,27,153,1e-06,0.0001,4.3159768306908706e-07,2.5824550784303086e-06,5.765933935391895e-05,0.0061765706281511675,0.02679843000008641,0.28243473582076983,0.45511964479871553,7.110433681593708,67.9912810982101,267.9843000008641,27,18,72,59,4
true_rank,"(2,1,1)",180,14,166,1e-06,0.0001,2.0350092607017608e-07,9.944408495903447e-07,7.272781053106432e-06,0.00247980681254454,0.006319168485755132,0.20350092607017609,0.9630234191780276,6.197094464673272,34.10406442439244,131.69273436958807,14,16,90,59,1
panel,50|50,108,6,102,1e-06,0.0001,2.47097812955215e-05,7.56028054230736e-05,0.001744958129061312,0.008465777600920292,0.02679843000008641,0.6274787920383449,1.0223852051830737,20.17386800776632,85.48045250279021,267.9843000008641,6,4,21,72,5
panel,100|100,108,12,96,1e-06,0.0001,7.986481029952193e-07,2.5094200005006598e-06,2.9953809740887958e-05,0.0013539832777508948,0.007493280977314237,0.45535029407091737,0.8204006659131626,8.244242894846318,36.17097862763972,75.9352052260289,12,9,41,46,0
panel,100|200,108,12,96,1e-06,0.0001,7.846793586843617e-07,2.3336437851430265e-06,9.414957343828416e-06,0.00040611127158376,0.0010063251050600375,0.34215011604638634,0.7865157524409804,6.117785796157122,18.039688027295607,26.756610456423957,12,8,58,30,0
panel,200|100,108,11,97,1e-06,0.0001,1.1704078903060464e-06,2.2028424855206485e-06,1.0560309443901847e-05,0.0009614310351169608,0.006759629839447187,0.42597728421956993,0.5357396667228262,6.117405858408235,22.933665248203432,67.59629839447186,11,7,54,36,0
panel,200|200,108,12,96,1e-06,0.0001,2.0350092607017608e-07,8.272566980695116e-07,4.239604693521046e-06,1.3281900428154175e-05,0.000799921228989975,0.20350092607017609,0.5479422317560357,4.011933685857075,10.63763607535284,13.682336607709622,12,14,74,8,0
