semantic_replication_id,dgp,N,T,true_rank,replication,start_1_objective,start_2_objective,start_3_objective,best_finite_objective,worst_finite_objective,absolute_objective_spread_all_finite,relative_objective_spread_all_finite,best_start_number,valid_start_count,best_valid_objective,second_valid_objective,worst_accepted_finite_objective,best_two_valid_objective_gap,objective_agreement_tolerance,same_solution_all_starts_under_tolerance,objective_agreement_pass
dgp1_N200_T200_r00001_truth1-0-2,1,200,200,"(1,0,2)",1,0.40124554961645936,0.4006002800498644,0.4006109260829898,0.4006002800498644,0.40124554961645936,0.0006452695665949415,0.0006452695665949415,2,0,,,,,1e-06,False,False
dgp1_N200_T200_r00001_truth1-1-1,1,200,200,"(1,1,1)",1,1.41996315697572,1.41852850065848,1.4183224452251706,1.4183224452251706,1.41996315697572,0.0016407117505494728,0.0011567974236556596,3,0,,,,,1e-06,False,False
dgp1_N200_T200_r00001_truth2-1-1,1,200,200,"(2,1,1)",1,0.25933040393181006,0.2592201291590872,0.2591836148868038,0.2591836148868038,0.25933040393181006,0.000146789045006257,0.000146789045006257,3,0,,,,,1e-06,False,False
dgp1_N200_T200_r00002_truth1-0-2,1,200,200,"(1,0,2)",2,0.3956229449359428,0.3952641261822264,0.3956415933154524,0.3952641261822264,0.3956415933154524,0.000377467133226006,0.000377467133226006,2,0,,,,,1e-06,False,False
dgp1_N200_T200_r00002_truth1-1-1,1,200,200,"(1,1,1)",2,1.4207385219925592,1.4189964005538966,1.4214618578448635,1.4189964005538966,1.4214618578448635,0.0024654572909668104,0.00173746550026796,2,0,,,,,1e-06,False,False
dgp1_N200_T200_r00002_truth2-1-1,1,200,200,"(2,1,1)",2,0.2723849029628613,0.27251007925966697,0.2724396725419933,0.2723849029628613,0.27251007925966697,0.00012517629680569575,0.00012517629680569575,1,1,0.2723849029628613,,0.2723849029628613,,1e-06,False,False
dgp1_N50_T50_r00000_truth1-0-2,1,50,50,"(1,0,2)",0,0.1419297452735049,0.14056075683318126,0.1394984709829806,0.1394984709829806,0.1419297452735049,0.00243127429052431,0.00243127429052431,3,0,,,,,1e-06,False,False
dgp1_N50_T50_r00000_truth1-1-1,1,50,50,"(1,1,1)",0,0.4640064474981087,0.46379618470398193,0.4699737901173393,0.46379618470398193,0.4699737901173393,0.006177605413357379,0.006177605413357379,2,0,,,,,1e-06,False,False
dgp1_N50_T50_r00000_truth2-1-1,1,50,50,"(2,1,1)",0,0.11023517175965426,0.10969138269436755,0.10704901703316284,0.10704901703316284,0.11023517175965426,0.003186154726491419,0.003186154726491419,3,0,,,,,1e-06,False,False
dgp1_N50_T50_r00001_truth1-0-2,1,50,50,"(1,0,2)",1,0.15814719727888749,0.16684088658691426,0.16616673033204485,0.15814719727888749,0.16684088658691426,0.008693689308026775,0.008693689308026775,1,0,,,,,1e-06,False,False
dgp1_N50_T50_r00001_truth1-1-1,1,50,50,"(1,1,1)",1,0.5125689057685556,0.4919742292743455,0.4761743839136077,0.4761743839136077,0.5125689057685556,0.0363945218549479,0.0363945218549479,3,0,,,,,1e-06,False,False
dgp1_N50_T50_r00001_truth2-1-1,1,50,50,"(2,1,1)",1,0.09772830270798379,0.10205946743407213,0.10164501964308996,0.09772830270798379,0.10205946743407213,0.004331164726088341,0.004331164726088341,1,0,,,,,1e-06,False,False
dgp1_N50_T50_r00002_truth1-0-2,1,50,50,"(1,0,2)",2,0.14617046512826154,0.14414748960849372,0.14575780091010332,0.14414748960849372,0.14617046512826154,0.0020229755197678223,0.0020229755197678223,2,1,0.14414748960849372,,0.14414748960849372,,1e-06,False,False
dgp1_N50_T50_r00002_truth1-1-1,1,50,50,"(1,1,1)",2,0.5422047189731697,0.5357820261518287,0.5429680175801357,0.5357820261518287,0.5429680175801357,0.007185991428307004,0.007185991428307004,2,0,,,,,1e-06,False,False
dgp1_N50_T50_r00002_truth2-1-1,1,50,50,"(2,1,1)",2,0.10515309177178787,0.10163923923924087,0.10361969554821948,0.10163923923924087,0.10515309177178787,0.0035138525325470044,0.0035138525325470044,2,0,,,,,1e-06,False,False
dgp2_N100_T100_r00000_truth1-0-2,2,100,100,"(1,0,2)",0,0.301927596522202,0.29890970101780057,0.299145585097632,0.29890970101780057,0.301927596522202,0.0030178955044014577,0.0030178955044014577,2,0,,,,,1e-06,False,False
dgp2_N100_T100_r00000_truth1-1-1,2,100,100,"(1,1,1)",0,0.9223184858521394,0.9202035824186656,0.9166489386674568,0.9166489386674568,0.9223184858521394,0.0056695471846825995,0.0056695471846825995,3,0,,,,,1e-06,False,False
dgp2_N100_T100_r00000_truth2-1-1,2,100,100,"(2,1,1)",0,0.19765512548644734,0.19942311679233646,0.19881077043140943,0.19765512548644734,0.19942311679233646,0.0017679913058891161,0.0017679913058891161,1,0,,,,,1e-06,False,False
dgp2_N100_T100_r00001_truth1-0-2,2,100,100,"(1,0,2)",1,0.2697967753236164,0.2711325150342104,0.26865177048406,0.26865177048406,0.2711325150342104,0.002480744550150349,0.002480744550150349,3,0,,,,,1e-06,False,False
dgp2_N100_T100_r00001_truth1-1-1,2,100,100,"(1,1,1)",1,0.9795407130246365,0.9801201291611651,0.9770074606142339,0.9770074606142339,0.9801201291611651,0.003112668546931152,0.003112668546931152,3,0,,,,,1e-06,False,False
