dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,mean_a,sd_a,mean_b,sd_b,min_a,max_a,min_b,max_b,mean_c_a,max_pre_scaling_abs_a,max_final_abs_a,var_u_tilde,var_h_raw,calibration_draws,minimum_grid_r2,large_c_xi_r2_floor,target_r2_feasible,r2_scale_identified,requested_r2,c_xi_normalization,bracket_lower,bracket_upper,root_residual,infeasible_c_xi_normalization,true_rank_vector,theoretical_max_abs_A,theoretical_max_abs_B,theoretical_max_abs_H,theoretical_coefficient_envelope,realized_calibration_max_abs_A,realized_calibration_max_abs_B,realized_calibration_max_abs_H,requested_replications
1,50,50,0.80617864044783,1.4888541811877178,0.3,0.3,0.65,0.64999999999984,0.5326579287607072,0.10982819862001647,0.5120010329100622,0.2661823757817959,0.2763499668573082,0.85,0.06086131241426016,1.4580764111470785,0.9765028451722471,0.8704531729757192,0.85,1.030571276142976,0.6795770026151926,1,0.5714549831556882,0.5714439486978249,True,True,0.65,,1.460686320364989,1.7912844546220021,-1.5998313784848506e-13,,null,0.85,2.031384387633061,6.236850506537612,6.236850506537612,0.85,1.4580764111470785,3.9403203070031694,1
2,50,50,0.7112437365887013,2.1417319187868245,0.3,0.3,0.65,0.6499999999991444,0.5280140131622091,0.11573424927938437,0.5873965614173261,0.3242549696975645,0.23462820332022952,0.817226546577744,0.0799886585530796,1.5151592789751966,1.0,0.8276729226763486,0.8276729226763486,1.0702695133894489,0.9067330787759847,1,0.5927633657628364,0.5927612961016606,True,True,0.65,,1.7912844546220021,2.196707090793235,-8.556488850786081e-13,,null,0.85,2.031384387633061,7.915264756838195,7.915264756838195,0.817226546577744,1.5151592789751966,5.550213384812923,1
3,50,50,0.5100790263778722,2.6971365109757053,0.3,0.30000000000000004,0.65,0.6500000000000233,0.5031919447898886,0.09891322651907557,0.6372060914241081,0.32964452848968884,0.2493899674906328,0.7936550523169118,0.09549580156907657,1.6498678643752447,1.0,0.8182457032735222,0.8182457032735222,1.0814426808665991,1.7813603751823146,1,0.6051000691227906,0.6050605245923814,True,True,0.65,,2.6938893095901695,3.3035991201283395,2.3314683517128287e-14,,null,0.85,2.031384387633061,7.148621065636903,7.148621065636903,0.7936550523169118,1.6498678643752447,5.246275488106607,1
4,50,50,0.6588780783526305,2.045644433665838,0.3,0.3,0.65,0.65,0.4809754053376197,0.10823298233286731,0.6338848319583139,0.28343552717168796,0.24508523601254886,0.8062428410667692,0.03161540689631662,1.572832572293904,0.984952385379186,0.8629858789293331,0.85,1.039839828427362,1.0265486733361915,1,0.5818462988816109,0.5818260475160975,True,True,0.65,,1.7912844546220021,2.196707090793235,0.0,,null,0.85,1.9596152422706632,7.003531540766384,7.003531540766384,0.8062428410667692,1.572832572293904,5.6354849892494405,1
