dgp,N,T,true_rank_vector,mean_rank_runtime_seconds,mean_candidate_count,mean_ic_gap,successful_replications,requested_replications
1,20,20,"[1, 1, 1]",12.712836800001241,14.0,0.10079836205270423,2,2
2,20,20,"[1, 1, 1]",14.770165599999018,11.0,0.1324505907731126,2,2
3,20,20,"[1, 1, 1]",13.840454249995673,9.5,0.1012650121997507,2,2
4,20,20,"[1, 1, 1]",15.52362164999795,11.5,0.13693154798066365,2,2
