dgp,n,t,c_h,c_xi,target_h_share,achieved_h_share,target_r2,achieved_r2,mean_a,sd_a,mean_b,sd_b,min_a,max_a,min_b,max_b,mean_c_a,max_pre_scaling_abs_a,max_final_abs_a,var_u_tilde,var_h_raw,calibration_draws,minimum_grid_r2,large_c_xi_r2_floor,target_r2_feasible,bracket_lower,bracket_upper,requested_replications
1,20,20,0.49799040803061484,0.6573427122026206,0.3,0.30000000000000004,0.7,0.6999999999999751,0.4233545310561348,0.09265545778152393,0.3868109703097277,0.22854027027091187,0.2524679765135774,0.7016103424927248,0.040173534017071535,1.2027512914610172,1.0,0.8023939436415713,0.8023939436415713,1.1465538780380358,1.9814162792701868,1,0.5650934861435319,0.56512763545181,True,0.6458424430196978,0.7920164050192549,2
2,20,20,0.65089091047234,1.9776462160249617,0.3,0.3,0.7,0.7,0.4906221096765813,0.08617195456092507,0.7358322938842575,0.35886582931794836,0.3184296134989817,0.7033897993591202,0.13380833960400584,1.7252607385614573,1.0,0.7875444849912692,0.7875444849912692,0.8343887055704069,0.8440636895721463,1,0.6061616053148045,0.6061428852687133,True,1.7912844546220021,2.196707090793235,2
3,20,20,0.473292605266788,2.4923974549362757,0.3,0.3,0.7,0.7,0.4596046200741273,0.09699379785811504,0.6593778262598678,0.3453243802440125,0.2692237793605447,0.7605663647381231,0.10951228788210292,1.5997748002906031,1.0,0.8287686856925391,0.8287686856925391,0.9436727192812623,1.8054487988898942,1,0.6186717136958739,0.6185619259622943,True,2.196707090793235,2.6938893095901695,2
4,20,20,0.33019558635485036,4.007248196824172,0.3,0.3,0.7,0.6999999999999974,0.5066528304887177,0.10796576414335747,0.6007240295183249,0.3121874980724626,0.27081058508683353,0.7700947899417979,0.06469265918643041,1.5435436882464624,0.9950801436835146,0.8542025538300185,0.85,0.9949042343631618,3.9107672196951007,1,0.6680633092651862,0.6679632282509966,True,3.3035991201283395,4.051304969235378,2
