dgp,N,T,target,true_rank_vector,mean_truth,mean_estimate,bias,rmse,mc_sd,mean_estimated_se,se_to_mc_sd,size_5pct,coverage_95pct,power_against_zero,mcse_size,mcse_coverage,successful_replications,requested_replications,plugin_mean_estimate,plugin_bias,plugin_rmse,plugin_mean_se,corrected_mean_estimate,corrected_bias,corrected_rmse,corrected_mean_se,mean_rank_runtime_seconds,mean_inference_runtime_seconds,mean_replication_runtime_seconds,mean_best_neighbor_target_change,spatial_c,failure_success,failure_calibration_failure,failure_nonfinite_input,failure_full_fit_not_converged,failure_first_order_residual_high,failure_coefficient_bound_active,failure_rank_at_cap,failure_rank_pilot_failure,failure_rank_selection_failure,failure_riesz_not_converged,failure_riesz_nearly_singular,failure_split_fit_not_converged,failure_split_rank_loss,failure_split_target_support_loss,failure_split_gram_nearly_singular,failure_spatial_variance_failure,failure_nonpositive_variance,failure_unexpected_exception,mean_A_G1_fixed_time_true,sd_A_G1_fixed_time_true,mean_A_G2_fixed_time_true,sd_A_G2_fixed_time_true,mean_A_G2_minus_G1_fixed_time_true,sd_A_G2_minus_G1_fixed_time_true,mean_A_G1_time_average_true,sd_A_G1_time_average_true,mean_A_G2_time_average_true,sd_A_G2_time_average_true,mean_A_G2_minus_G1_time_average_true,sd_A_G2_minus_G1_time_average_true,mean_B_G1_fixed_time_true,sd_B_G1_fixed_time_true,mean_B_G2_fixed_time_true,sd_B_G2_fixed_time_true,mean_B_G2_minus_G1_fixed_time_true,sd_B_G2_minus_G1_fixed_time_true,mean_B_G1_time_average_true,sd_B_G1_time_average_true,mean_B_G2_time_average_true,sd_B_G2_time_average_true,mean_B_G2_minus_G1_time_average_true,sd_B_G2_minus_G1_time_average_true,mean_A_G2_minus_G1_fixed_time_raw_true,sd_A_G2_minus_G1_fixed_time_raw_true,mean_A_G2_minus_G1_time_average_raw_true,sd_A_G2_minus_G1_time_average_raw_true
2,20,20,A_fixed_time_mean,"[1, 1, 1]",0.5136576332341928,0.6757890413019203,0.16213140806772755,0.33511939431099225,0.4355370466357709,0.10692438033458358,0.2455000812456761,0.5,0.5,1.0,0.3535533905932738,0.3535533905932738,2,2,0.6757890413019203,0.16213140806772755,0.33511939431099225,0.10692438033458358,0.6757890413019203,0.16213140806772755,0.33511939431099225,0.10692438033458358,14.770165599999018,0.02167974999611033,14.831412650000857,0.024431729852218975,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,20,A_full_mean,"[1, 1, 1]",0.5120708669230412,0.6568653151928967,0.14479444826985555,0.15009148957722063,0.06088932556504741,0.04785266804925189,0.7858958463603181,0.5,0.5,1.0,0.3535533905932738,0.3535533905932738,2,2,0.6806788919324183,0.16860802500937716,0.17064144128978154,0.03295813259551075,0.6568653151928967,0.14479444826985555,0.15009148957722063,0.04785266804925189,14.770165599999018,0.1024275999989186,14.963184650001494,-0.020611837421383672,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,20,A_fixed_time_mean,"[1, 1, 1]",0.678718274169298,0.6110959020089894,-0.06762237216030853,0.06762237216030853,,0.05457330303105324,,0.0,1.0,1.0,0.0,0.0,1,2,0.6110959020089894,-0.06762237216030853,0.06762237216030853,0.05457330303105324,0.6110959020089894,-0.06762237216030853,0.06762237216030853,0.05457330303105324,14.603090699994937,0.022502300002088305,14.671907199997804,-0.006320845289097599,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
3,20,20,A_full_mean,"[1, 1, 1]",0.588315522749563,0.741978182038876,0.153662659289313,0.153662659289313,,0.04322508776989998,,1.0,0.0,1.0,0.0,0.0,1,2,0.751917902099979,0.163602379350416,0.163602379350416,0.03720502195007156,0.741978182038876,0.153662659289313,0.153662659289313,0.04322508776989998,14.603090699994937,0.10062649999599671,14.807154499998433,-0.3200295602982669,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
4,20,20,A_fixed_time_mean,"[1, 1, 1]",0.47356669964803666,0.46585764881892977,-0.007709050829106889,0.007709050829106889,,0.10338336894714964,,0.0,1.0,1.0,0.0,0.0,1,2,0.46585764881892977,-0.007709050829106889,0.007709050829106889,0.10338336894714964,0.46585764881892977,-0.007709050829106889,0.007709050829106889,0.10338336894714964,14.605303299998923,0.018071999998937827,14.662308400002075,-0.46585764881892977,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4314473812800014,0.0,0.5156860180160718,0.0,0.08423863673607046,0.0,0.4513341022650876,0.0,0.5394555537721373,0.0,0.0881214515070497,0.0,0.4425134306345814,0.0,0.8018372227398816,0.0,0.3593237921053002,0.0,0.3407090061285142,0.0,0.6173669414842022,0.0,0.27665793535568806,0.0,0.08556774802578793,0.0,0.08951182557532045,0.0
4,20,20,A_full_mean,"[1, 1, 1]",0.49539482801861245,0.5554315322146084,0.06003670419599594,0.06003670419599594,,0.058328967153353506,,0.0,1.0,1.0,0.0,0.0,1,2,0.5567485541846062,0.06135372616599377,0.06135372616599377,0.03443775605447663,0.5554315322146084,0.06003670419599594,0.06003670419599594,0.058328967153353506,14.605303299998923,0.11614440000266768,14.806334699998843,-0.5567485541846062,1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4314473812800014,0.0,0.5156860180160718,0.0,0.08423863673607046,0.0,0.4513341022650876,0.0,0.5394555537721373,0.0,0.0881214515070497,0.0,0.4425134306345814,0.0,0.8018372227398816,0.0,0.3593237921053002,0.0,0.3407090061285142,0.0,0.6173669414842022,0.0,0.27665793535568806,0.0,0.08556774802578793,0.0,0.08951182557532045,0.0
